jp,cn,kr,en
ぼくはその湯呑を受け取らず自分のお茶だけを持って席に座る。,我则是无视了她，默默拿着自己的茶杯坐回位子上。,나는 그 찻잔을 받지 않고 내 것만 가지고 자리에 앉는다.,
「むっ」,“唔。”,「음.」,
先輩が本から顔をあげる。,学姐抬起看书的目光。,선배님이 고개를 들었다.,
「自分でやりたまえ」,“你自己泡吧。”,「스스로 하도록.」,
そっくりそのまま返してやる。,以彼之道，还施彼身。,그 말을 그대로 돌려준다.,
先輩は豆鉄砲をくったように目を開いて驚いた顔をする。,学姐就像吃了瘪似的，有些惊讶地睁开了眼睛。,선배님은 마른 하늘에 날벼락이라도 떨어진 듯 눈을 크게 떴다.,
「ふっ……」,“呵……”,「훗…….」,
「な、なんですか？」,“怎、怎么了吗？”,"「왜, 왜 그러세요?」",
「いや、君もいうようになったなと、私は嬉しいのだよ」,“没啥，只是看到你也成长了，我很开心啊。”,"「아니, 너도 반항할 줄 알게 되었구나. 난 그것이 기뻐.」",
「え、嬉しいんですか。よくわかんないですが」,“哎，居然还开心吗？我不是很懂啊。”,"「어, 기쁘시다고요? 잘 모르겠네요.」",
「ああ、無論だ」,“是啊，当然了。”,"「그래, 기쁘고말고.」",
先輩は、はっはっはっはと笑いながら席を立ってお茶をいれている。,学姐哈哈笑着，站起来倒了茶。,선배님은 호탕하게 웃으며 자리에서 일어나 차를 타기 시작했다.,
ぼくはその背中を眺めながら相変わらず不思議な人だと思った。,我看着她的背影，还是老样子，是个不可思议的人啊。,나는 그 뒷모습을 바라보며 여전히 신기한 사람이라고 생각했다.,
「少年」,“少年。”,「소년.」,
「はい」,“嗯。”,「네.」,
先輩はお茶を注いで席へ戻ってくる。,学姐倒完茶，坐回了位子上。,선배님은 차를 따르고 자리로 돌아왔다.,
「仕方ない、聞いてやろう。君の安いホラー話をもう一度話してくれ」,“没办法，说来听听吧。把你那个廉价的恐怖段子，再说一遍。”,「하는 수 없지. 제대로 들어 줄 수밖에. 너의 싸구려 괴담을 다시 말해 주겠나?」,
「安いって……。まあ、安いですけど」,“廉价……嗯，确实挺廉价的。”,「싸구려라니요……. 싸구려긴 하네요.」,
先輩は読んでいた本に栞をはさんで、胸の前で腕を組む。,学姐把书签夹进书里，双手抱胸。,선배님은 책에 책갈피를 꽂은 뒤 팔짱을 꼈다.,
そしてそのまま上半身をかがめて机に伏せ、顔だけはあげてぼくをまっすぐ見つめてきた。,然后直接趴在桌子上，只把头抬起来看着我。,"그리고 그대로 상반신을 기울여 책상에 괸 뒤, 얼굴만 들어 나를 물끄러미 쳐다본다.",
「――っ」,“——”,「――윽.」,
先輩の長い横髪が目にふわりと落ちてきて、先輩はそれをゆっくり耳の後ろにかける。,学姐的长发在我面前飘落，她则是慢慢地把头发收到耳后。,선배님의 긴 옆머리가 서서히 흘러내린다. 선배님은 그 머리카락을 천천히 귀 뒤로 넘겼다.,
「さ、話したまえ少年」,“好了，说吧，少年。”,"「자, 이야기해 보도록. 소년.」",
「なんか、話しづらいんですけど」,“总觉得，这样有点难以启齿啊。”,「그러시니까 얘기하기 힘드네요.」,
「そんなことはない。私はちゃんと聞いている」,“没这回事，我会好好听着的。”,「부담 가질 것 없어. 나는 경청하는 중이니.」,
「え、とじゃあ、昨夜のことなんですけど……」,“啊，那个，昨晚的事情啊……”,"「어, 그럼, 어젯밤에 있었던 일인데요…….」",
「ふむ」,“唔。”,「흠.」,
「幽霊に出会ったんです」,“我遇到幽灵了。”,「유령을 만났어요.」,
「ふ、ふむ」,“嗯，唔。”,"「흐, 흐음.」",
「昨夜はその、一緒にカップラーメンを食べていたんですけど」,“昨晚，我和她一起吃了泡面。”,"「어젯밤은 그, 같이 컵라면을 먹고 있었거든요.」",
「幽霊とか？」,“和幽灵吗？”,「유령과 말이냐?」,
「ええ、幽霊とです」,“嗯，和幽灵一起。”,"「네, 유령이랑요.」",
「ふふ、そうか。続けたまえ」,“唔，这样。继续吧。”,"「후후, 그렇군. 계속하도록.」",
「はい、そうしたら誰かがきまして」,“对，然后有个人过来了。”,「네. 그랬더니 갑자기 누가 다가와서.」,
「どこにいたんだ」,“你是在哪里？”,「어디에 있었나?」,
「あ、泉です」,“啊，泉水那里。”,"「아, 샘이에요.」",
「ほぅ、泉？　なんだってそんなところに」,“豁，泉水？为什么会去那里？”,"「호오, 샘? 무슨 일로 그런 곳에.」",
「あ、きっかけはですね――」,“啊，起因是这样的——”,"「아, 그게 어떻게 된 거냐면요――」",
それからぼくは昨夜あった事全てを先輩に説明した。,然后，我就把昨天发生的事情全告诉了学姐。,나는 어젯밤 있었던 일을 모두 선배님께 설명했다.,
「で、振り返ったらもうその幽霊がいなかったんですよ」,“然后，等我一回头，那个幽灵就不见了。”,「그리고 돌아봤을 때는 이미 유령이 사라진 거예요.」,
「ふむ」,“唔。”,「흠.」,
先輩は話を聞き終えゆっくり身体を起こす。,学姐听我说完后，慢慢地支起身子。,선배님은 이야기를 다 들은 뒤 천천히 몸을 일으켰다.,
肩にかかった髪を後ろへはらって、胸の前で腕を組む。,她把肩上的头发往后一拨，双手环抱在胸前。,어깨에 걸린 머리카락을 등 뒤로 넘긴 뒤 팔짱을 낀다.,
表情は、なぜだか不気味なほど笑顔だった。,然后脸上是一副不屑的笑容。,선배님의 미소가 어쩐지 무섭게 느껴졌다.,
「少年」,“少年。”,「소년.」,
「はい」,“嗯。”,「네.」,
「君は、説明、というよりも話すのが下手くそだな」,“你很不会说明，或者说，很不会讲故事啊。”,"「너는 설명, 아니,이야기를 잘 못하는구나.」",
「うっ……」,“呜……”,「윽…….」,
苦手なことを指摘されうめく。,别人指出了我的短处，不由得短气了起来。,서투른 점을 지적받아 신음한다.,
「そんなことではちっとも怖くはないぞ。それではお金はとれんな」,“你这故事一点也不可怕，根本赚不到钱啊。”,「그런 걸로는 조금도 무섭지 않아. 이래서야 돈은 못 벌겠군.」,
「取るつもりはないんですけどね」,“我也没打算收钱啊。”,「벌 생각도 없었어요.」,
先輩は、はぁ、と一息ついた。,学姐不由得叹了一口气。,"선배님은 하아, 하고 한숨을 지었다.",
「君は国語の成績は良いのに、なぜこうも説明が下手くそなんだ」,“我看你语文成绩也挺好的，怎么就是这么不会说明事情呢？”,"「너는 국어 성적은 좋은데, 어째서 그리 설명을 못하는 건지.」",
「な、なんででしょうね。昔から下手くそなんですよ」,“我、我哪知道啊，我一直就不太擅长。”,"「그, 그건 왜 그럴까요. 옛날부터 어설펐어요.」",
「はぁ、知っている」,“唉，我知道的。”,"「하아, 잘 알지.」",
「あ、知ってたんですか」,“啊，你知道的啊。”,"「어, 알고 계셨나요.」",
恥ずかしい。,好羞耻啊。,민망하다.,
「ん？　あ、あぁ。まあ君とも1年一緒にいるわけだからな」,“嗯？啊，是啊。毕竟和你一起过了一年嘛。”,"「응? 아, 아아. 뭐, 너와 1년 동안 함께 있었으니까.」",
先輩が髪をはらう。,学姐撩了下头发。,선배님이 머리카락을 털었다.,
ぼくはその動作にみとれつつ、自分に反省した。,我看着她，心下反省了自己。,나는 그 동작에 눈길을 빼앗긴 채 스스로 반성했다.,
昔から話すのは苦手なのだ。説明するのももちろん下手くそ。,以前我就不太会说话，说明自然也不怎么会。,옛날부터 말솜씨가 없었다. 당연히 설명도 잘 못한다.,
でもこう、なんか話したくなる。,但是，还是想说话。,"그래도 이렇게, 무언가 이야기하고 싶어진다.",
昔はよく、何言ってるかよくわかんないって指摘されたっけ。,好像以前，我也经常被别人说“你在说啥我听不懂啊”。,옛날에는 무슨 말을 하는지 잘 모르겠다고 종종 지적받곤 했지.,
「まあとにかく」,“不过不管怎么说吧。”,"「뭐, 어찌됐든.」",
先輩がこほんと咳ばらいを一つする。,学姐咳了一声。,선배님이 헛기침으로 분위기를 전환했다.,
「君はその幽霊とカップラーメンを食べ夜を共にしたということだな」,“你就是和那个幽灵共度了吃泡面的夜晚对吧？”,「너는 그 유령과 컵라면을 먹으며 함께 밤을 보냈다는 것이지.」,
「後半、なんだか語弊がありますがそういうことです」,“虽然后半有点语病，但就是那么回事。”,「뒷부분은 말이 좀 이상하지만 일단 그렇습니다.」,
「その幽霊はご丁寧にユエナと名前も述べたわけか。それが昨日、君が言っていた子だな、そうかそうか」,“还贴心地给幽灵起了由依奈这个名字，就是昨天你说过的那个人吧？这样啊这样啊。”,"「그 유령은 정중하게 유에나란 이름까지 밝혔다는 것이고. 어제, 네가 말했던 그 아이구나. 그렇군, 그랬어.」",
乾いた笑いがなんだか怖い。,这干笑声总觉得有点可怕。,메마른 웃음소리가 왠지 모르게 섬뜩하다.,
「先輩、何か怒ってます？」,“学姐，你是在生气吗？”,「선배님. 혹시 화나셨나요?」,
「怒ってなどいるものか」,“我哪里有生气啊？”,「내가 왜 화를 내지?」,
「え、とじゃあその湯呑が粉砕されそうなので強く握るのは……」,“呃，那……为啥要那么用力的握着茶杯啊，都要碎了……”,"「어, 그러면, 그 찻잔을 깨뜨릴 기세로 쥐고 있는 이유는…….」",
「なに、そんなことせん」,“哪里，没有这回事。”,"「무슨, 그런 일 없다.」",
「いやでも……。そういえばその湯呑、以前落とした時少しだけ亀裂が入ってたような気が……」,“可是……话说那个茶杯，以前掉地上的时候就有点裂痕的样子了……”,"「아니, 하지만……. 그러고 보니까 그 찻잔, 저번에 떨어뜨렸을 때 살짝 금이 생겼던 것 같은데…….」",
パリンッ。,啪嚓。,쨍그랑!,
「え」,“哎？”,「엥.」,
割れた。,碎了。,깨졌다.,
「ええ！？」,“哎？！”,「어어?!」,
先輩が握っていた湯呑は、薄い皿を落とした時のように案外あっさり割れた。,学姐握着的茶杯，就像是掉在地上的盘子那般，碎得干净利落。,선배님이 쥐고 있던 찻잔이 얇은 접시를 떨어뜨렸을 때처럼 깔끔하게 깨졌다.,
「……あ」,“……啊。”,「……아.」,
割れた湯呑からはお茶が何にもせき止められることなく溢れ出して、机の上を瞬く間に緑色へと浸食していく。,因为茶杯粉碎了，所以茶水也奔涌而出，桌面瞬间就被绿色覆盖了。,깨진 찻잔에서 차가 흘러나와 책상 위를 녹색으로 침식해 나간다.,
「わああああ！」,“哇啊啊啊啊！”,「와아아아!」,
慌てて席をたって、そこらへんにあったぞうきんをつかんで拭く。,我慌忙站起来，抓住旁边的毛巾擦了起来。,벌떡 일어나 옆에 있던 걸레로 책상을 닦는다.,
先輩は湯呑を持つ手の形を保持したまま固まっている。,而学姐的手还是之前那副握着茶杯的样子。,선배님은 찻잔을 잡은 손 모양 그대로 굳어 있다.,
「先輩何やってるですか！　手、大丈夫ですか！？」,“学姐你在干什么啊！手没问题吗？！”,"「선배님, 뭐 하시는 거예요! 손은 괜찮으세요!?」",
淹れたてではないとはいえ、湯呑にあったお茶はそれなりに熱いはずだ。,虽然不是刚加的水，但茶杯里的茶应该还是挺烫的。,직전에 부은 물은 아니지만 그래도 꽤 뜨거울 것이다.,
「あ、ああ大丈夫だ、問題ない」,“啊……没事的，没问题。”,"「아, 아아, 괜찮다. 문제없어.」",
「手はすぐに冷やしたほうがいいと思います！」,“我觉得还是趁早给手降降温吧。”,「손 빨리 찬물에 식히세요!」,
「そうか火傷してしまうな、うむ、すまない少年」,“这样啊，会烫伤呢。唔，抱歉啊少年。”,"「그렇군, 화상이 생기겠어. 음. 미안하다, 소년.」",
先輩は流しへ駆けていった。,学姐跑向了洗手台。,선배님이 수돗가로 달려간다.,
ぼくは机を拭いて、先輩と入れ替わるように、廊下にある流しで洗ってまた戻ってくる。,我把桌子擦了一下，学姐回来的时候我也去走廊里的洗手台洗了一下。,"나는 책상을 다 닦고, 선배님과 교대하듯 복도 수돗가로 가 씻은 뒤에 돌아왔다.",
先輩は割れた湯呑の破片をゴミ箱に捨てている。,我回来时学姐在收拾茶杯的碎片。,선배님은 깨진 잔 조각을 쓰레기통에 버리고 있었다.,
「……少年」,“……少年。”,「……소년.」,
「はい、何にもみてませんよ。女性が片手で湯呑をわる握力なんて持ってませんよね。そう！　湯呑の寿命だったんですよ、大丈夫です！　なんにも見てません！」,“是，我什么都没看见哦。女性应该没有能够握碎杯子的握力的。对！肯定是茶杯到寿命了，没问题的！我什么都没看见！”,"「네, 전 아무것도 못 봤어요. 한 손으로 찻잔을 깰 악력이 여성 분한테 있을 리가요. 맞아! 찻잔의 수명이 다한 거예요. 괜찮아요! 아무것도 못 봤으니까!」",
必死に言葉を並びたてる。,我拼了命地在找话说。,필사적으로 말을 뱉는다.,
女性は握力を気にしているとどこかで聞いた。身体測定ではわざと手を抜く人もいるらしいと。,以前听说过，女性很在意自己的握力，甚至还有人刻意在体检的时候放水。,여성 중에는 악력에 신경 쓰는 사람이 많이 있다고 어디선가 들었다. 체력 측정 때도 일부러 힘을 빼는 경우가 있다고.,
そんなもの気にしなくていいのに。と内心思うのが中学生男子だが、気にする人がいるなら配慮はしないといけない。,虽然我作为一个初中男生，觉得这种小事不需要在意，如果有人在意的话还是得注意一下。,"굳이 신경 쓰지 않아도 될 텐데. 남자 중학생으로서 내심 그렇게 생각하지만, 신경 쓰는 사람이 있다면 배려해야 한다.",
もっとも先輩がそういうのを気にする人だとは思わないけど。,虽然我觉得学姐应该是不在意这个的。,선배님이 그런 걸 신경 쓸 사람 같지는 않지만.,
「それよりも手は大丈夫なんですか？」,“比起那个，手没事了吗？”,「그보다 손은 괜찮으세요?」,
「無論だ、ほれっ」,“当然了，你看。”,"「물론이야, 봐라.」",
「ちょ、やめてくださいよ」,“等，不要这样啊。”,"「앗, 하지 마세요.」",
先輩がからかうように、ぼくの頬をツンと指さす。,学姐像是在开玩笑一样，用手指戳着我的脸。,선배님이 장난치듯 내 뺨을 콕 찌른다.,
「分かりました、分かりましたから。大丈夫そうで安心です」,“我明白了，我明白了啦。看你没问题我也放心了。”,"「알겠어요, 알겠다니까요. 괜찮으신 것 같아 다행이네요.」",
「何も見なかったことにしますので」,“我会当做没看见的。”,「오늘 일은 못 본 걸로 할 테니까.」,
「……ふふ、何にも見てないか。そうだな、少年はなにも見ていない」,“……哈哈，什么都没看见啊。确实啊，少年什么都没看见。”,"「……후후, 아무것도 못 보았나. 그렇지. 소년은 아무것도 보지 않았어.」",
「はい、なにもみてません」,“对，什么都没看见。”,"「네, 아무것도 못 봤어요.」",
「はっはっは！　少年は面白いな」,“哈哈哈！少年你真有趣啊。”,「하하하! 소년은 참 재밌어.」,
先輩はどこか楽しそうに笑っている。,学姐笑得有些开心。,선배님은 무엇이 즐거운지 웃고 있다.,
「しかし、湯呑がなくなってしまったのはいささか残念だ」,“可是，茶杯没了还是有些可惜啊。”,"「그나저나, 찻잔이 없어진 건 유감스럽군.」",
「一応予備はあった気がします」,“我记得应该是有备用的。”,「예비용이 있었던 것 같아요.」,
「ふむ、しばしの間はそれを使うとしよう。だが……」,“唔，那这段时间就先用那个吧，只是……”,「흠. 한동안은 그걸 쓰도록 해야겠어. 그렇지만…….」,
先輩は少し口をとがらせて悲しそうな顔をする。,学姐顿了一下，神情也有些悲伤。,선배님이 입술을 살짝 내밀며 서글픈 표정을 지었다.,
「あれは結構気に入っていたんだがな」,“那个我还挺喜欢的啊。”,「상당히 맘에 들었던 건데 말이야.」,
「そうだったんですか」,“这样啊。”,「그러셨나요.」,
意外だ。先輩が何かを気に入っていたりすることがあるなんて。,好意外啊。没想到学姐居然也有喜欢的东西。,의외다. 선배님이 무언가를 맘에 들어하기도 한다니.,
そういえばぼくは先輩が好きなものとかをあまり知らない。,说起来，我都不知道学姐喜欢什么。,그러고 보면 난 선배님이 뭘 좋아하는지 잘 모른다.,
「せっかくだ、新しいものがほしいな」,“正好难得，我也想要的新的啊。”,「이렇게 된 김에 새로운 걸 갖고 싶군.」,
「結果的に変えるいい機会になりましたね」,“总的来说，这也是个换杯子的好机会啊。”,「결과적으로 좋은 기회가 됐네요.」,
「ふむ、ほしい」,“唔，想要。”,"「흠, 갖고 싶군.」",
「はい、ほしい……え？」,“是，想要……哎？”,"「네, 갖고 싶은…… 네?」",
先輩がじっとこちらを見つめてくる。いや、睨んでいるに近い。,学姐默默地看着我，不对，都快到盯的程度了。,선배님이 나를 빤히 쳐다본다. 그것도 엄청 가까운 곳에서.,
「先輩？」,“学姐？”,「선배님?」,
「はぁ……。君のその鈍感さは吉というべきか凶というべきか」,“唉……不知道你这迟钝该说是好还是不好了。”,「하아……. 너의 둔감함을 길이라고 해야 할까 흉이라고 해야 할까.」,
先輩はわざとらしく大きく息をはいて、腕を組みなおし、足を組み替え髪をはらう。,学姐刻意深深叹了一口气，双手环抱，交换了翘着的腿，拨了下头发。,선배님이 들으란 듯이 크게 한숨을 토한다. 그리고 팔짱을 끼고 다리를 반대로 꼬며 머리카락을 넘겼다.,
「付き合いたまえ、少年」,“陪我一趟吧，少年。”,"「함께 가도록 하지, 소년.」",
「いいですけど、どこにですか？」,“倒是可以，去哪里啊？”,「알겠어요. 근데 어디를요?」,
「……つくづく君というやつは」,“……你这人真的是。”,「……정말이지 너란 녀석은.」,
ガタッと音をたて先輩が席を立つ。,学姐站了起来。,선배님이 의자를 박차고 일어난다.,
そしてずかずかとぼくのほうへ歩み寄ってきて、そのままキスでもしようかという勢いで人差し指でぼくの顎を小さく持ち上げ、,然后慢慢走了过来，然后像要亲嘴一样，用食指抬起了我的下颚。,그리고 성큼성큼 다가와 키스라도 할 것처럼 손가락으로 내 턱을 살짝 들어올리고,
「わたしの新しい湯呑を買いにいくときに、君も付き合いたまえと言っている」,“我是在说，我去买新茶杯的时候，你要来陪我。”,"「새 찻잔을 사러 갈 때, 너도 따라오라는 말이다.」",
「は、はい！　分かりましたから分かりましたから！　近いですって」,“啊，好！我知道了我知道啦！太近了！”,"「아, 넵! 알겠어요, 알겠어요! 너무 가까워요!」",
それこそ湯呑一つぶんもないくらい、先輩の顔が近くにある。,学姐离我基本连一个茶杯的距离都没有了。,"그야말로 찻잔 하나 들어올 틈도 없이, 선배님의 얼굴이 코앞까지 다가온다.",
先輩の長いまつ毛ははっきりと分かって、透き通る瞳の向こうに自分が映るのも分かる。,学姐那修长的睫毛看得一清二楚，甚至都能看到那透亮瞳孔中的自己。,선배님의 속눈썹이 얼마나 긴지 확실하게 알았다. 맑고 투명한 눈동자에 내 모습이 비치고 있다.,
至近距離で目を合わせるのが恥ずかしくて視線を下げる。,因为视线太近了，我害羞地低下了头。,나는 눈 마주치기 부끄러워 시선을 내리깔았다.,
そこには、あきらかな膨らみがあって、流麗な曲線を描く制服に沿ってリボンが垂れていた。,然后，眼前就是凹凸有致的曲线，以及沿着曲线垂下来的缎带。,"그 끝에는 척 보기에도 풍만해 보이는 물체가 있고, 교복의 유려한 곡선을 따라 리본이 늘어져 있었다.",
「ん？」,“嗯？”,「응?」,
「なんにもないです、付き合います、付き合いますって！」,“什么都没有，陪你，我会陪你的啦！”,"「아무것도 아닙니다, 갈게요, 같이 간다니까요!」",
「うむ、よろしい」,“嗯，很好。”,"「음, 아주 좋아.」",
先輩はくるっと身を翻して嵐が去るように帰っていく。,学姐转身就走，风一样地回去了。,선배님은 몸을 휙 돌려 돌아갔다. 마치 폭풍우가 몰아치고 간 듯하다.,
その姿はどこか上機嫌で、長い黒髪と後頭部から流れる長いリボンが左右にゆらゆらと揺れていた。,那副身子透着一股高兴，一头秀发从后脑垂下，缎带也随之左右摇摆。,어째서인지 매우 기분이 좋아 보인다. 검은 장발과 뒷머리에 묶은 긴 리본이 좌우로 흔들흔들 너울거린다.,
「ふぅ」,“呼。”,「휴.」,
なんだか短時間の間にどっと疲れて息を吐く。,虽然时间不长，但我还是累得喘了口气。,짧은 시간에 극심한 피로감이 몰려왔다. 한숨을 내쉰다.,
「でだ、少年」,“对了，少年。”,"「그래서, 소년.」",
先輩が自分の席へ戻る。,学姐回到了自己的位子上。,선배님이 자기 자리로 돌아간다.,
「ユエナと名乗った幽霊の話の続きなのだが」,“关于那个名叫由依奈的幽灵，还没说完呢。”,「유에나라는 유령 이야기 말이다만.」,
そういえばまだそっちの話が続きだった。,说回来，她居然还要聊那件事啊。,그러고 보니 아직 그쪽 이야기를 하던 중이었다.,
「ユエナがどうしました？」,“由依奈怎么了吗？”,「유에나가 왜요?」,
「む」,“唔。”,「음.」,
先輩に睨まれる。,学姐瞪着我。,선배님이 째려본다.,
「ふぅ〜ん」,“呼……”,「흐음~」,
「え、え、なんですか。怖いですよ、先輩」,“哎，哎，什么意思啊，学姐，好可怕啊。”,"「아, 아니, 왜 그러세요. 무서워요, 선배님.」",
「君は幽霊が怖い怖い、東雲ママ助けて〜と滂沱の涙を流しながら懇願しているわりには随分とユエナという子の事を楽し気に話すじゃないか」,“你虽然满嘴害怕来害怕去，泪如雨下地来求东云妈妈，可你讲由依奈的时候不是挺开心的嘛？”,"「유령이 너무 무서워요, 시노노메 마마 도와줘~ 하고 눈물 질질 흘리며 애원하는 것치고는, 넌 유에나에 관해 꽤 즐거운 듯이 이야기했단 말이지.」",
先輩が早口でまくし立てる。,学姐机关枪般地宣泄自己的不满。,선배님이 속사포로 쏘아붙인다.,
「涙は流してませんよ。怖いとも一言も言ってません。あと東雲ママってなんですか！」,“我没流泪，也没说害怕啊。还有东云妈妈什么鬼啊！”,「눈물 안 흘렸어요. 무섭다고도 안 했고요. 그리고 시노노메 마마는 뭐예요!」,
「詩乃おねえちゃんでも良い」,“那叫诗乃姐姐也行。”,「우타노 누나라고 해도 좋아.」,
「そういう問題じゃ……」,“问题不在那……”,「그런 문제가 아니라…….」,
「まあ、とにかく」,“哎，不管怎么说。”,"「뭐, 어찌됐든.」",
こほんと先輩は咳ばらいをする。,学姐咳嗽了一下。,으흠 하고 선배님이 헛기침을 한다.,
「君はそのユエナという幽霊を呼び捨てにしているのだな」,“你是直接叫那个幽灵‘由依奈’的啊。”,「너는 그 유에나라는 유령을 호칭 없이 허물없게 부르는 모양이구나.」,
「それはユエナが、さん、はつけるなって」,“因为她说不想让我叫她‘由依奈小姐’啊。”,"「그건 유에나가, 그렇게 하라고 해서.」",
ユエナサンじゃない、ユエナ。,不是由依奈小姐，是由依奈。,유에나양이 아니야. 유에나.,
初めて会った時のユエナの声が頭の中で再生される。,我不禁回想起了第一次见她时，她所说的那句话。,처음 만났을 때 유에나의 목소리가 머릿속에 되살아난다.,
「私の事も東雲、もしくは詩乃と呼んでくれても構わない」,“那你叫我东云，甚至直接叫我诗乃，我也不介意的。”,"「그럼 나를 시노노메, 혹은 우타노라고 불러도 좋다.」",
「え、無理ですよ」,“哎，那我做不到啊。”,"「어, 그건 좀.」",
「え……無理？」,“哎……做不到？”,「아…… 그건 좀?」,
先輩が明らかに残念そうな顔をする。,学姐满脸都挂满了遗憾。,선배님이 눈에 띄게 아쉬워한다.,
「無理ってあれですよ、そう呼びたくないわけではなくて、恐れ多いというか、急に変えるのも変というか、,“做不到是因为那个，不是因为不愿意这么叫，该说是诚惶诚恐呢，还说是突然变称呼很奇怪呢？”,"「그런 거 있잖아요. 편하게 부르기 싫어서 그런 게 아니라, ",
あと先輩を呼び捨てにしているところをうっかり誰かに聞かれたら殺されるかもしれないというか」,“再就是被人看到我直接叫学姐名字，没准就会被杀了。”,"게다가 선배님을 호칭 없이 친근하게 부르는 걸 누가 본다면 살해당할지도 몰라요.」",
「おおげさだな」,“太夸张了吧？”,「비약이 지나쳐.」,
「意外と大袈裟じゃないですよ。先輩、人気ですから」,“还真不夸张，毕竟学姐很有人气啊。”,「의외로 과장 없는 사실이에요. 선배님은 인기가 많으니까요.」,
「知っている。だが気にしたことはない、それに興味もないな」,“我知道的，但那种事情不需要在意，我也没啥兴趣啊。”,「알고 있다. 하지만 신경 쓴 적 없어. 거기엔 흥미도 없으니까.」,
