jp,cn,kr,en
少しだけ開いた扉の隙間から古めいた紙の匂いと、物置らしい雑めいた色々な物が混ざった匂いが鼻をくすぐる。,旧书与各种杂物的气味交织在一起，从微微敞开的门缝中传出。,살짝 열린 문 틈새로 케케묵은 종이 냄새와 온갖 잡화의 냄새가 코를 간질인다.,
いつもの匂い。言の葉サークルの匂いだ。,熟悉的味道，也是属于茶言阅社的味道。,평소와 같은 냄새. 말소리 서클의 냄새다.,
「なんだ先輩、いるなら返事してくださいよ」,“学姐，原来你在啊，既然在就吱一声嘛。”,"「뭐야, 선배님. 계셨으면 대답해 주세요.」",
ぼくはぐっと扉を押して入る。,我推门而入。,나는 문을 확 밀었다.,
きっとこの扉の先でニヤニヤ笑った先輩が、言の葉サークル代表、東雲詩乃が笑っているのだろう。,茶言阅社的社长东云诗乃，此时一定就在房间内笑盈盈地等着我。,"이 문 너머에는 분명 선배님이, 말소리 서클 대표, 시노노메 우타노가 장난스럽게 웃고 있을 것이다.",
だが――,然而——,그러나――,
「本当にいない」,“真的不在啊。”,「진짜 없네.」,
絶対にいると思っていた先輩は部室にはいなかった。,本以为学姐肯定在，结果房间里却是空无一人。,반드시 있을 거라 생각했던 선배님이 부실에 없다.,
ただ、先輩の鞄だけは机の上へ置かれている。,不过她的包倒是放在桌上。,다만 선배님의 가방만이 책상 위에 덩그러니 놓여 있다.,
「なんだ、トイレにでも行ってるだけか。勝ったと思ったのに」,“原来只是去卫生间了，我还以为今天真的能赢学姐一次呢。”,「뭐야. 화장실이라도 가셨나. 이긴 줄 알았네.」,
ようやく先輩よりも早くこれたかと思ったのに残念だ。,真是遗憾，本来以为终于能比学姐早到一次了。,"드디어 선배님보다 일찍 왔다고 생각했는데, 아쉽게 됐다.",
ぼくは大して広くもない部室を見渡して、鞄を机に置いて座る。,我打量了一下这间小小的活动室，然后把包放在桌上，找张椅子坐了下来。,"나는 그다지 넓지 않은 부실을 둘러보며, 가방을 책상 위에 놓고 앉았다.",
体重を背もたれに預けて脱力すると、きしっと僅かに軋んだ音がした。,身体放松地靠在椅背上，椅子发出了轻微的嘎吱声。,등받이에 깊이 몸을 맡기자 희미하게 삐걱거리는 소리가 난다.,
「結構暑くなってきた」,“今天好热啊。”,「많이 더워졌다.」,
ぼくはすぐに立ち上がって部室の窓を開ける。,我马上站起身打开了窗户。,나는 곧바로 일어나 부실 창문을 열었다.,
良い風がすぐさま入り込んできた。,一阵舒爽的清风涌了进来。,시원한 바람이 기다렸다는 듯 실내로 들어온다.,
「やあ少年」,“嗨，少年。”,"「오, 소년.」",
部室の扉が開く音がして、振り返る。,我听到开门声，于是回过头去。,나는 부실 문 열리는 소리에 뒤돌아보았다.,
先輩――東雲詩乃が何やら大きな段ボールを抱えて入ってきた。,学姐走了进来，怀里抱着一个大纸箱。,선배님―― 시노노메 우타노가 커다란 골판지 상자를 들고 나타났다.,
「悪いが、部室の扉を閉めておいてくれたまえ」,“不好意思，帮我关下门。”,「미안하지만 부실 문을 닫아 주겠나.」,
「いいですけど、声かけてくれれば開けるのもやりましたのに」,“没问题。你刚才叫一声的话，我也会帮你开门的。”,「알겠어요. 말씀해 주셨으면 문도 열어 드렸을 텐데.」,
「うむ、ありがとう。なーに、君はまだ来ていないと思ったのだよ」,“嗯，谢谢。我以为你还没来呢”,"「음, 고맙다. 그게 말이지, 네가 아직 오지 않았을 거라 생각했거든.」",
先輩はそう言って段ボールを机の脇に置く。,学姐边说边把纸箱放在桌子旁边。,선배님은 골판지 상자를 책상 옆에 내려놓았다.,
制服をパンパンと叩いてから、肩にかかる髪を後ろへ払った。,她拍了拍校服上的灰尘，然后将长发撩到肩后。,교복을 탁탁 털고 어깨에 흘러내린 머리카락을 뒤로 넘긴다.,
「君がくるまでに運びこめると思ったのだが、少々遅かったようだ」,“本来想趁你来之前搞定，结果稍微晚了一点。”,"「네가 오기 전에 나를 수 있을 것 같았는데, 내가 좀 늦은 모양이구나.」",
先輩が残念そうな表情を浮かべ、風の入る窓際に歩み寄る。,学姐面露遗憾，走到了敞开的窗户旁。,선배님이 아쉬운 표정을 지으며 바람 드는 창가로 걸어간다.,
「君が部室へ入ってくるのを見られないとは残念だ。今日は何かが起こるかもしれん」,“可惜了，没看到你进活动室的样子。今天可能会出什么事啊。”,「네가 부실로 들어오는 걸 보지 못하다니 참 유감이다. 오늘은 무슨 사건이 벌어질지도 몰라.」,
「物騒なこといわないでください」,“别说得这么吓人吧。”,「불안한 얘기 하지 마세요.」,
「ふふ、冗談だ」,“呵呵，开个玩笑罢了。”,"「후후, 농담이야.」",
先輩が微笑む。,学姐微微一笑。,선배님이 미소 짓는다.,
今日もいつも通りの先輩だ。,模样一如往常。,오늘도 평소와 다름없는 선배님이다.,
「それにしても、それなんですか？」,“话说回来，那是什么啊？”,"「그건 그렇고, 그게 뭔가요?」",
ぼくは軽く段ボールを持ち上げようとすると、中々の重さに指が滑る。,我轻轻提了一下纸箱，没想到重量不轻，一下子从我手中滑了下去。,나는 가볍게 상자를 들어 보려고 했다. 그런데 의외로 무거워 손가락이 미끄러졌다.,
「あ、結構重いじゃないですか、手伝いが必要ならいつでも呼んでくださいよ」,“挺沉啊，要帮忙的话随时都可以叫我的。”,"「아, 꽤 무거운데요? 이런 거 있으면 언제든 불러 주세요.」",
「ん？　ああ、そうだな。これからはもっと君を頼ることにしよう、期待しているぞ、少年」,“嗯？噢，也对。以后就要多多麻烦你了，我很期待哦，少年。”,"「응? 아아, 그렇군. 앞으로는 널 더욱 의지하도록 하지. 기대하겠어, 소년.」",
そんなところで期待などされても困るのだが、先輩に頼られることに文句はないので、,在这种事情上受到期待，我也不知该作何反应。不过学姐愿意依靠我，我自然没有意见。,"기대까지 하시면 곤란하지만, 선배님이 의지한다는 것 자체에는 불만이 없기에",
「お任せあれ」,“交给我吧。”,「맡겨 주십쇼.」,
と胸を叩いた。,我拍了拍胸脯。,하고 가슴을 두드렸다.,
「頼もしいな」,“真靠得住啊。”,「믿음직하구나.」,
先輩が肩を揺らして笑った。,学姐轻轻一笑，肩膀微颤。,선배님이 어깨를 들썩이며 웃는다.,
「で、この中身はなんです？」,“那里面到底是什么？”,「그래서 안에는 뭐가 들었나요?」,
段ボールを指差す。,我伸手指向纸箱。,상자를 가리킨다.,
「今夜使うものだよ」,“是今晚要用的东西。”,「오늘 밤 쓸 물건이야.」,
「今夜？」,“今晚？”,「오늘 밤?」,
「今夜だ」,“今晚。”,「오늘 밤.」,
オウム返しのように先輩は頷いて、胸の前で腕を組んだ。,学姐将我的问题重复了一遍，然后双臂交叉抱于胸前。,선배님이 팔짱을 끼고 앵무새처럼 고개를 끄덕인다.,
昨日、先輩に明日の夜は空いているかと聞かれた。つまりは今夜。,昨天她问过我今晚有没有空。,"어제 선배님이 내일 밤에 시간이 있느냐고 하셨다. 즉, 오늘 밤이다.",
先輩は特に何をするとは言わなかったけど、どうやらこの段ボールの中に入っているものを使うらしい。,她没有说要去干什么，不过现在看来似乎是要用到纸箱里装的东西。,"선배님이 특별히 무엇을 할 거라고는 말하지 않았는데, 아무래도 이 상자 안에 있는 것을 쓰려는 듯하다.",
「今夜今夜……」,“今晚、今晚……”,"「오늘 밤, 오늘 밤…….」",
一体何に使うものだろうか。,到底是用来干什么的呢？,대체 무엇에 쓰는 물건일까.,
「ん？　当てようとしているのかな」,“嗯？你在猜里面装的是什么吗？”,「응? 맞혀 보려는 생각인가.」,
「はい」,“是的。”,「네.」,
「いいだろう、だが……そこまで考えるほど難しいものではないぞ」,“好吧，不过……其实答案很简单，不用那么冥思苦想。”,「좋다. 다만…… 그렇게 고민할 만큼 어려운 건 아니야.」,
「なるほど」,“这样啊。”,「그렇군요.」,
ぼくは一つ答えがでていた。出ていたというよりも思いついてしまったに近い。,我得出了答案。不过与其说是推理出来的，更像是灵机一动想到的。,난 이미 한 가지 답을 이끌어 냈다. 이끌어 냈다기보다는 순간적으로 직감하고 말았다.,
ここで思いつくならもう少し早く知りたかったという願いを込めて、そしてきっとこれが正解だろう答えを言う。,要是能早点得知这件事就好了，我相信这一定就是正确答案。,이럴 바에는 좀 더 빨리 알았으면 좋았을 텐데. 나는 내 생각이 정답일 거라 생각하며 답을 던졌다.,
「パーティーグッズですか……」,“是派对用品吧……”,「파티 용품인가요……?」,
「……ん？」,“……嗯？”,「……응?」,
「先輩もしかして今日が誕生日だったんですか！？」,“难道今天是学姐的生日？！”,「혹시 선배님 오늘이 생일이었나요!?」,
先輩なら自分の誕生日パーティーを自分で開催して祝いたまえ、とか言ってもおかしくない。,以学姐的性格，亲自举办自己的生日派对也不奇怪。,선배님이라면 본인 생일 파티를 직접 개최해 「축하하도록.」이라고 말한다 해도 이상하지 않다.,
先輩ならきっとやる。,她一定会这么做的。,선배님이라면 충분히 가능하다.,
だが先輩が次に呟いた言葉は、,然而学姐的回答却出乎意料。,하지만 선배님의 대답은,
「いや違うが」,“不对。”,"「아니, 아니다만.」",
「あれ？」,“不是啊？”,「엥?」,
外れた。残念なようなホッとしたような不思議な気持ちになった。,猜错了。我在遗憾之余又感觉放下心来，处于一种奇妙的心境。,"헛짚었다. 아쉬우면서도 다행스러운, 신기한 기분이 들었다.",
「違うんですか？　先輩なら自分の誕生日パーティーを自分で開催して、祝いたまえ、って言うと思ってたんですが」,“不对吗？我还以为按照学姐的性格，应该会亲自举办自己的生日派对，让我帮你庆祝。”,「아니었나요? 선배님이라면 본인 생일 파티를 직접 개최해 「축하하도록.」이라고 하실 줄 알았어요.」,
「少年、私はそこまで悲しい人間にみえるか？」,“少年，在你眼里我就那么可悲吗？”,「소년. 내가 그렇게나 처량한 사람으로 보이나?」,
みるからに先輩は落ち込んでいた。,学姐的情绪变得低落。,선배님은 풀이 죽은 듯 보였다.,
「本当にすみません」,“对不起。”,「정말 죄송합니다.」,
素直に謝る。,我老老实实道歉。,변명 없이 사과한다.,
「ふふ、まあいいさ、いつかそれは君に祝ってもらうことにしよう」,“呵呵，没关系，真到了生日那天就让你帮我庆祝吧。”,"「후후, 괜찮아. 그건 언젠가 너에게 축하받기로 하지.」",
「そして、ちなみに答えはこれだ」,“顺便回答一下你的疑问。”,「그리고 정답은 이거다.」,
先輩が段ボールの蓋をそっと開ける。ぼくはその中を覗き込んだ。,学姐轻轻打开纸箱，我探着脑袋打量纸箱内部。,선배님이 상자 뚜껑을 살며시 열었다. 나는 그 안을 들여다보았다.,
中には布のようなもので巻きつけられた何かが入っている。,里面的东西被一块布包裹住了。,안에는 천 같은 것으로 감싸인 무언가가 들어 있다.,
精密なものでも入っているのだろうか、いくつも緩衝材が入ってかなり厳重だ。,纸箱里还填充了许多缓冲材料，看来里面放的可能是精密仪器。,정교한 물건이라도 들어 있는 것일까. 완충재도 몇 개씩 들어가 있어 꽤 중요한 물건인 듯하다.,
「なんです？　これ」,“这是什么？”,「뭔가요? 이게.」,
これだけ見ても何かは分からないので直接問う。,我依然一头雾水，于是直接向学姐寻求答案。,이렇게 봐도 뭔지 알 수 없었기에 직접 물었다.,
先輩は「少し待っていたまえ」と言って、緩衝材をガサガサとだして丁寧に布をはがしていく。,学姐让我稍等片刻，然后麻利地掏出里面的缓冲材料，小心翼翼揭开了裹在外面的布。,"선배님은 「잠시 기다리도록.」 하더니, 뒤적뒤적 완충재를 꺼내어 조심스럽게 천을 벗기기 시작했다.",
その中にあったのは――,纸箱里面的东西就是——,그 속에 있는 것은――,
「ぼ、望遠鏡だ……」,“望、望远镜……”,"「마, 망원경이다…….」",
段ボールからでてきたのは望遠鏡だった。,纸箱里面是一台望远镜。,상자 속에서 나타난 것은 망원경이었다.,
パッと見だけでも分かるかなり立派で、高価な望遠鏡。,一眼就能看出是高端产品，想必价格不菲。,척 봐도 알 만큼 화려하고 고급스러운 망원경.,
ぼくも小学生の頃買ってもらった安い望遠鏡があるけどそれとは比べものにならない。,小学的时候我也有一台便宜的望远镜，完全无法与眼前这台相提并论。,"나도 초등학생 때 샀던 저렴한 망원경이 있는데, 그것과 비교할 바가 되지 않는다.",
「どうだ、すごいだろう」,“怎么样，很厉害吧？”,「어떠냐. 굉장하지.」,
先輩は、ふふん、と鼻を鳴らして自慢げだった。,学姐得意洋洋地哼了一声。,선배님은 콧소리를 내며 자랑스럽게 어깨를 폈다.,
「なるほど、だから今夜、夜だったんですね」,“我懂了，难怪要在晚上。”,"「그렇구나. 그래서 오늘 밤, 밤이었던 거네요.」",
「無論だとも」,“当然。”,「그렇고말고.」,
「少し見てもよいですか」,“能让我看看望远镜吗？”,「조금 봐도 될까요?」,
「ああ構わないよ」,“没问题。”,"「그래, 얼마든지.」",
先輩の許可をもらって覗き込む。,得到学姐的许可，于是我仔细观察了一番。,선배님의 허가를 받아 망원경을 살펴본다.,
本格的な望遠鏡だ。,这就是真正的望远镜。,본격적인 망원경이다.,
軽く触れる。冷たい。,我轻轻一摸，手感冰凉。,가볍게 만져 본다. 서늘하다.,
昔、これよりももっと小さくて安い望遠鏡を持って、夜空を、宇宙を眺めていた時期があった。,有段时间，我也常常用那台便宜的小型望远镜观察夜空与宇宙。,"옛날, 이것보다 훨씬 작고 저렴한 망원경을 가지고 밤하늘을, 우주를 바라보던 시기가 있었다.",
あの頃は本気で宇宙飛行士とか天文学者になりたいと思っていたし、なれると思っていた。,那时的我一心想要成为宇航员或者天文学家，并且真心觉得有朝一日可以实现自己的梦想。,"그때에는 진심으로 우주비행사나 천문학자가 되고 싶었고, 될 수 있다고 생각했다.",
小学校の卒業文集にもそう書いてあるはずだ。,在小学的毕业文集中应该也是这么写的。,초등학교 졸업 문집에도 그렇게 썼을 것이다.,
「懐かしいなあ」,“真怀念啊。”,「옛날 생각이 나네요.」,
今ではもうその夢は持っていないし、現実的になれっこないと分かっている。,如今我自然早已放下了梦想，也知道了这并不现实。,이제 더 이상 그 꿈은 갖고 있지 않다. 현실적으로 불가능하다는 것도 안다.,
それでも、宇宙への憧れや期待や、そういう漠然とした大望のようなものが常にぼくらの頭上にあるのは変わらない。,即便如此，对宇宙的向往与期待以及朦胧的雄心壮志，也依然高悬于我们的头顶。,"그럼에도 우주에 대한 동경과 기대 등, 그런 막연하고 거대한 이상이 항상 우리 머리 위에 있다는 것만은 변하지 않는다.",
「少年は使ったことはあるか？」,“你用过望远镜吗？”,「소년은 사용해 본 적이 있나?」,
先輩が優しく望遠鏡を撫でる。細い指が滑らかにすべった。,学姐纤细的手指在望远镜上轻轻拂过。,선배님이 부드럽게 망원경을 어루만진다. 가느다란 손가락이 반드럽게 미끄러진다.,
「ええ、もちろんありますよ。これよりももっと子供用というか小さいものですけど」,“嗯，当然用过。不过比这台小很多，只是台儿童望远镜。”,"「네, 그럼요. 어린이용이라고 해야 되나, 이것보다 작은 거였지만요.」",
「今は……使ってないのか？」,“那你的意思是……现在没有在用了？”,「지금은…… 사용하지 않나?」,
「そうですね、あまり使ってないです。なんか、使う機会を逃しちゃって」,“是啊，几乎没有再用过了。总是错过用上它的机会”,「그렇죠. 잘 안 써요. 하다 보니까 쓸 기회를 놓쳐서.」,
「そうか」,“这样啊。”,「그렇군.」,
先輩は特に追及することなく、望遠鏡に布をかぶせ段ボールを閉じた。,学姐没有追问，用布盖好望远镜便合上了纸箱。,선배님은 더 이상 묻지 않고 망원경에 천을 덮은 뒤 상자를 닫았다.,
「お茶でも飲もうか」,“喝杯茶吧。”,「차라도 마실까.」,
「ぼくが淹れます。先輩は座っていてください」,“我去泡茶，学姐你就坐着吧。”,「제가 탈게요. 선배님은 앉아 계세요.」,
「よろしくたのむ」,“麻烦你了。”,「그럼 부탁하지.」,
先輩は本棚から一冊本を取り出して読み始める。,学姐从书架上取出一本书，开始阅读。,선배님은 책장에서 책 한 권을 꺼내어 읽기 시작했다.,
そんな先輩の後姿を一瞥してから個装されたティーバックを開け湯をいれる。,我看了一眼她的背影，然后便打开独立包装的茶包开始泡茶。,나는 선배님의 뒷모습을 힐끗 확인한 뒤 개별 포장된 티백을 뜯어 뜨거운 물을 부었다.,
たちまち緑茶のいい香りが広がった。,没过多久，绿茶的清香就在房间内扩散开来。,머지않아 향긋한 녹차 향기가 퍼진다.,
「どうぞ」,“喝吧。”,「드세요.」,
「ありがとう」,“谢谢。”,「고마워.」,
先輩はまだ入れたばかりで熱いのにもかかわらずずずっと一口飲んだ。,刚泡好的绿茶还很烫，但学姐没有介意，直接喝了一口。,선배님은 갓 내려 뜨거운 차를 개의치 않고 한 모금 후루룩 마셨다.,
ぼくは猫舌ではないけどさすがにいれたばかりのお茶は熱くて飲めない。,我虽然不是很怕烫，但刚泡好的茶水还是没法入口的。,"나도 뜨거운 음식에 약한 편은 아니지만, 방금 우린 차는 뜨거워서 못 마시겠다.",
いつも火傷しないか心配になる。,每次我都忍不住担心学姐会不会烫伤。,선배님이 화상을 입지 않을까 항상 걱정된다.,
「ん？　どうした少年」,“嗯？怎么了，少年。”,"「응? 왜 그러지, 소년?」",
先輩が本から視線を上げ目が合う。,学姐抬起视线，与我四目相接。,선배님이 책에서 시선을 들자 눈이 마주친다.,
「いえ、火傷しないか心配で」,“没什么，我只是担心你烫伤。”,"「아뇨, 입이 데실까 걱정돼서.」",
「火傷？　ああ」,“烫伤？噢，我知道了。”,「데여? 아아.」,
先輩は湯気がたちのぼる湯呑をみつめて、チンッと爪を当てた。,学姐看着直冒热气的茶杯，将指甲贴在上面感受了一下。,선배님은 증기가 피어오르는 찻잔을 바라보며 손톱으로 틱 두드렸다.,
「これくらいなら問題ない」,“不算很烫，没问题的。”,「이 정도는 문제없어.」,
「でもだいたい100度くらい、少なくとも90度はありますよ、これ」,“但是这大概都有100度了，至少也有90度啊。”,"「그래도 처음엔 100도였고, 지금도 최소 90도는 될 거예요.」",
「ああ、問題ないよ。私は熱いのは得意なのだよ」,“哦，没关系，我不怕烫。”,"「그래, 문제없어. 난 뜨거운 걸 잘 먹으니 말이야.」",
ふふ、と先輩は微笑む。相変わらず何をとってもハイスペックな人だ。,学姐轻轻一笑。她的方方面面都是如此完美。,후후. 선배님이 미소 짓는다. 정말이지 무엇 하나 빠지지 않고 뛰어난 사람이다.,
髪をはらう先輩につい見惚れる。,她撩起了长发，我不禁看得入迷。,나는 머리카락 쓸어 넘기는 선배님을 무심코 응시했다.,
身長はぼくとほとんど変わらない、むしろ高いかもしれない。そして足はすらりと長い。,学姐双腿修长，身高与我相差无几，甚至可能比我更高。,"키는 나와 거의 비슷한, 오히려 클지도 모른다. 그리고 다리도 늘씬하고 길다.",
モデルと言われても疑いようのないくらい納得する。,如果说她是模特，我也不会有半点怀疑。,모델이라고 해도 의심할 사람은 없을 것이다.,
そしてなんといっても目を見張るのが太もも辺りまでまっすぐ伸びる黒髪。,而最为夺人眼球的则是她的黑色秀发，足足长到了大腿附近。,그리고 뭐니 뭐니 해도 허벅지까지 곧게 뻗은 검은 머리가 아주 인상적이다.,
よくクラスの女子なんかは、先輩のこの髪をいつも羨ましがっている。,班上的女生一直很羡慕学姐柔顺的长发。,같은 반 여학생들도 선배님의 머리를 항상 부러워한다.,
「ほんと、ハイスペック」,“真的太完美了。”,「정말 대단한 사람이야.」,
おまけに運動もできる。勉強も当然できる。,无论体育还是文化课程，她都不在话下。,심지어 운동도 잘한다. 공부도 당연히 잘한다.,
これでいてもう少し、,如果……,그러니 조금만 더,
「人前で笑顔がつくれたら……」,“如果在他人面前能再多一点笑容就好了……”,「사람들 앞에서도 잘 웃으면 좋을 텐데…….」,
とぼくは常々思っていた。,我时常怀有这样的想法。,늘 그렇게 생각한다.,
凛とした表情で思っていることをズバズバと言うので、中には先輩のことを怖いと思っている人も何人かいたりする。,学姐总是一脸严肃地直抒己见，因此有不少同学都有些害怕她。,"무덤덤한 표정으로 머릿속에 생각한 말을 주저 않고 말하기 때문에, 개중에는 선배님을 무서워하는 사람도 몇몇 있다.",
友人の航生は先輩を怖いと思っている人の中の一人だ。,我的朋友航生也是其中之一。,친구인 △△가 그 중 하나이다.,
部室でのこの感じを皆に見てもらいたいところではあるが、上手く行った試しがない。,尽管想让大家看看学姐在活动室里的模样，但却一直没有成功。,부실에서의 모습을 모두가 봤으면 하지만 잘된 경우가 없었다.,
もとより試したこともないけど。,不过我本来也没尝试过。,애초에 시도해 본 적도 없었지.,
「どうした少年、私に見惚れていたかな？」,“怎么了，少年，迷上我了吗？”,"「왜 그러나, 소년. 나한테 반한 것인가?」",
先輩は微笑みながら顔をぐっと近づけてくる。,学姐面带微笑，突然将脸贴近我。,선배님이 얼굴을 들이대며 미소 짓는다.,
こういう人だ。,她的性格就是如此。,이런 사람이다.,
でも、ぼくはそれを心地よいと思う。余計な気遣いはいらないし社交辞令もいらないし、見得も必要ない。,我觉得与她相处起来十分舒适，不需要多余的顾虑，不需要互相客套，也不需要装模作样。,그렇지만 난 이게 좋다. 쓸데없는 배려도 빈말도 눈치도 필요치 않다.,
慣れるのには時間がかかるかもしれない。,可能需要一段时间才能够适应。,익숙해지기까지 시간이 걸릴지 모른다.,
けれどぼくはすんなりと、東雲詩乃という人間に慣れてしまった。,但我已经完全习惯了东云诗乃这个人的性格。,그래도 나는 자연스레 시노노메 우타노라는 사람에게 익숙해지고 말았다.,
「いえ、べつに」,“没有啊。”,"「아뇨, 별로.」",
だからこうやって軽い口を言える。,所以我才会用这样随意的语气回答。,그래서 이렇게 농담도 할 수 있다.,
「ふむ、残念だ」,“呵，真遗憾。”,"「흠, 유감이로군.」",
あまり残念そうに思っていない顔で先輩は笑った。,学姐笑了笑，神色中倒是没有遗憾的感觉。,선배님이 그다지 유감스럽지 않은 표정으로 웃는다.,
「いい風だ」,“好舒服的风。”,「바람이 좋아.」,
開け放たれた窓から涼しい風が入る。その風は湯呑からでる湯気を揺らして、先輩の髪とリボンをはためかせ、読んでいた本のページをめくった。,一阵凉风从敞开的窗户吹入，吹动了茶杯冒出的热气，学姐的长发与发带随风摇曳，书页也随之翻动。,"열린 창문으로 시원한 바람이 들어온다. 그 바람은 찻잔에서 오르는 증기를 흔들고, 선배님의 머리카락과 리본을 펄럭이며, 펼쳐 놓은 책 페이지를 넘겼다.",
居心地が良い、というのはこういう場所を言うと、ぼくは思う。,清风宜人，或许描述的就是现在的场景。,"아늑하다는 말이 바로 이런 것 아닐까, 나는 생각한다.",
「名前の付けられない時間がまるごと青春……」,“所有未曾命名的时光，都是青春的一部分……”,「이름 없는 시간들이 모두 청춘…….」,
昨日帰り際に先輩に言われたこと。先輩のいう時間とは、きっとこういう時間。,这是昨天回家时学姐对我说的话。她口中的青春，一定就如同此时此刻。,"어제 돌아가는 길에 선배님이 했던 말을 떠올린다. 선배님이 말하는 시간이란, 바로 이런 시간일 것이다.",
そう考えると、ぼくは青春のど真ん中にいて、青春を実感していることになる。,如此想来，我现在就正值青春，正在感受着青春。,그리 생각하니 나는 청춘의 한가운데에 있노라고 실감하게 되었다.,
しかし時間というものは進み、やがてその青春から抜ける日がいつかは来る。,但时间只会无情流逝，青春也终有一天会逝去。,하지만 시간이란 야속한 법이라 언젠가는 그 청춘에서 벗어나게 될 날이 온다.,
少なくとも――,至少——,머지않아――,
「……」,“……”,「…….」,
ぼくは目の前で足を組んで本を読んでいる先輩を一瞥する。,我看了一眼面前翘腿而坐正在读书的学姐。,나는 눈앞에서 다리를 꼰 채 책 읽는 선배님을 힐끔 쳐다보았다.,
少なくとも今年で先輩は卒業する。,至少学姐今年就要毕业了。,머지않아. 올해로 선배님은 졸업한다.,
来年には、確実に先輩がいなくなる。,到了明年，学姐就不会再待在这里。,내년이면 선배님은 확실하게 떠나간다.,
先輩のいなくなったこの部室を、時間を、果たしてぼくは青春と呼べるのだろうか。,她离开之后，我在这间活动室内度过的时光还称得上是青春吗？,"선배님이 사라진 이 부실을, 시간을, 나는 과연 청춘이라 부를 수 있을까.",
「考え事か、少年。顔が険しいぞ」,“你在想事情吗，少年？表情这么可怕。”,"「고민이 있나, 소년. 표정이 안 좋아.」",
「うわああ！」,“哇啊啊啊！”,「우와아아!」,
いつのまにか先輩の顔がすぐ近くにあっておもわずのけぞる。,不知何时学姐的脸贴到了我的面前，我不禁吓得后退两步。,언제부터인가 선배님의 얼굴이 바로 앞에 있었다. 나는 놀란 나머지 몸을 뒤로 젖혔다.,
「驚きすぎだろう。そう驚かれるとこちらまで驚くぞ」,“不用这么吃惊吧，我反而被你吓到了。”,「너무 놀라잖아. 그렇게 놀라면 나까지 놀란다고.」,
「す、すみません」,“对、对不起。”,"「죄, 죄송합니다.」",
「まあいい」,“算了。”,"「뭐, 됐다.」",
