jp,cn,kr,en
「少し湿っているから、無理に座らなくてもいいよ」,“还是有那么点湿的，别勉强自己坐下啊。”,「살짝 축축하니까 억지로 안 앉아도 돼.」,
「だいじょうぶ」,“没事的。”,「괜찮아.」,
そういってユエナはぼくのすぐ横に座る。,她这么说着，直接坐在了我身边。,유에나가 내 바로 옆에 앉았다.,
……。,……,…….,
……近い。,……好近。,……가까워.,
「ユエナさん？」,“由依奈小姐。”,「유에나 양?」,
「ユエナサンじゃない、ユエナ」,“不是由依奈小姐，是由依奈。”,「유에나양이 아니야. 유에나.」,
「あ、うん、ユエナ」,“啊，嗯，由依奈。”,"「아, 응, 유에나.」",
「ん？」,“嗯？”,「응?」,
「もう少しだけ離れてほしい……かな」,“希望你能离我……再远一点吧？”,「조금만 옆으로 가줬으면…… 좋겠는데.」,
「わたしは、だいじょうぶ」,“我，没事的。”,"「나는, 괜찮아.」",
「ぼくがだいじょうぶじゃないんだけど……まあ、いいか」,“可我有事啊……算了，没事。”,"「내가 안 괜찮은데……. 아이, 모르겠다.」",
こういう距離が近いのは先輩のからかいで少しは慣れたと思っていたけど、そうではないらしい。,因为学姐经常开我玩笑，所以我以为我已经习惯和女孩子之间保持这么近的距离了，但看来似乎并不是这样。,"이런 상황은 선배님의 장난 때문에 익숙해졌다고 생각했는데, 그렇지 않은 듯하다.",
何かの香水だったりするのか、嗅いだことのない不思議な香りがユエナから漂ってぼくの鼻の奥をくすぐる。,由依奈身上飘来了一种我没有闻过的，类似于某种香水的味道，弄得我鼻子痒痒的。,"무슨 향수라도 뿌린 것일까, 맡아 본 적 없는 신비로운 향기가 풍겨와 코 안쪽을 간질인다.",
「ユエ……」,“由依……”,「유에…….」,
「ともき、遠花火」,“智纪，空焰火。”,"「토모키, 별꽃.」",
「あ、はい」,“啊，好。”,"「아, 넵.」",
ぼくはポケットからスマホを取り出す。,我从兜里掏出了手机。,나는 주머니에서 스마트폰을 꺼냈다.,
画面を何度か操作して、動画を再生する。,稍微操作了一下，播放起了视频。,화면을 여러 번 두드려 영상을 재생한다.,
「……はぉ」,“……豁……”,「……후아.」,
ユエナはよくわからない声をあげてぐっと画面を覗き込む。,由依奈有些不知所云地看着屏幕。,유에나가 요상한 소리를 내며 화면을 들여다본다.,
「あ、見づらい？　持っていいよ」,“啊，不方便看吗，要不拿着？”,"「아, 잘 안 보여? 들고 봐도 돼.」",
ユエナにスマホを渡した。,我把手机递给由依奈。,유에나에게 스마트폰을 넘겼다.,
ユエナはスマホを両手で受け取り、大事そうに持った。,她则是双手接过手机，很宝贝地拿着。,유에나는 스마트폰을 마치 보물처럼 두 손으로 받아들었다.,
「冷たい」,“好冷。”,「차가워.」,
「なにが？　あ、ごめんやっぱりここ濡れてるかも」,“怎么了？啊，这里果然有点湿吧。”,"「뭐가? 아, 미안. 역시 나무가 좀 젖었나 봐.」",
ぼくは立ち上がって倒木を撫でる。そこまで濡れてる感じはしないけど、夏服のスカートの生地だったらもしかたら冷たいのかもしれない。,我站起来摸了摸树干。虽然不是特别湿，但如果夏天穿裙子直接坐上去，或许还是有点冷的。,나는 자리에서 일어나 나무를 문질렀다. 그렇게까지 젖은 느낌은 없지만 하복 치마 옷감으로 느끼기에는 차가울지도 모른다.,
「違う、これ」,“不是，这个。”,"「아니야, 이거.」",
「スマホ？　使ってないと冷たくなるよね」,“手机？不用的话确实会变凉呢。”,「스마트폰? 안 쓰고 있으면 차가워지지.」,
どうやらお尻が濡れた、冷たいとかではなかったらしい。,看来并不是在说屁股湿了所以有点凉啊。,엉덩이가 젖어서 차갑다는 말이 아니었나 보다.,
小さく安堵の息を吐く。,我稍稍舒了一口气。,안도의 한숨을 내쉰다.,
スマホで再生されている動画はネットに転がっている比較的綺麗にとられた遠花火の動画。,我手机里播放的视频，是网上众多拍摄空焰火的视频中，拍得比较漂亮的一个。,"스마트폰으로 재생한 영상은 인터넷에 돌아다니는, 비교적 예쁘게 찍힌 별꽃 영상이었다.",
「それ、結構綺麗に撮れているやつでぼくのお気に入り。他にもあるけどそれが一番画質がよくて、近いかな」,“那个拍得挺漂亮的，所以我也很喜欢。虽然也有其他视频，但这个应该是画质最好，离空焰火也最近的了。”,「이게 꽤 예쁘게 찍힌 거라 나도 맘에 들더라. 다른 것도 있지만 그게 제일 화질이 좋고 거리도 가까워.」,
「そう」,“这样。”,「그래.」,
短い動画だけど、何度も自動で連続再生されているのでユエナはそれを繰り返し見ている。,虽然视频不长，但因为有自动重播的功能，所以由依奈也反复看了很多次。,짧은 영상에 반복 재생이 걸려 있어 유에나는 그것을 계속해서 보고 있다.,
「じゃあ説明するね」,“那么我来说明一下。”,「그럼 설명할게.」,
コホンと咳ばらいを一つ。,我首先清了清嗓子。,헛기침을 한 번.,
ユエナは動画に集中しているのか返事はないけど、ぼくは勝手に話し始める。,虽然由依奈看得太认真而没有反应，但我还是自顾自地说了起来。,"유에나가 영상에 집중한 탓인지 대답하지 않았지만, 나는 멋대로 설명하기 시작했다.",
「遠花火はほんとうにまだまだ謎だらけの不思議な天文現象なんだ」,“说真的，空焰火还是一种充满谜团的天文现象。”,"「별꽃은 아직까지 수수께끼로 가득한, 신비로운 천문 현상이야.」",
「まずこうやって光る理由が何か分かっていない。もちろん何が光っているのかも分かっていない」,“首先，人们都不知道为什么会这么亮，当然也不知道究竟是什么在发光。”,「먼저 이렇게 빛나는 이유가 무엇인지 알려지지 않았어. 뭐가 빛나고 있는 건지도 잘 몰라.」,
遠花火が光ったタイミングで指をさして説明する。,我手指向发光的时间点，这么说道。,별꽃이 빛나는 타이밍에 맞추어 손가락으로 가리키며 설명한다.,
「うん」,“嗯。”,「응.」,
ユエナが頷く。,她点了点头。,유에나가 끄덕인다.,
ユエナは動画を食い入るようにみているものの、時折ぼくに視線を向けたりしている。,虽然由依奈基本都在看视频，但也会时不时看向我。,유에나는 영상을 뚫어지게 쳐다보다가 가끔씩 나에게 시선을 던지곤 한다.,
どうやら話は聞いているらしい。,看来她还是有在听的。,다행히 말은 듣고 있는 것 같다.,
ぼくはそのまま話し続ける。,我则是继续说了下去。,나는 계속해서 이야기했다.,
「流れ星はとっくに解明されている現象で、流れ星が流れる時期や方角、時間なんかも分かっているから、天気さえ良ければ狙って見られるよね」,“空焰火不比流星。流星是很早就被认识到的现象，流星发生的时期、方位、具体时间都知道得清清楚楚，如果天气不错的话，甚至能够找准时间去观测。”,"「별똥별은 이미 해명된 현상이야. 별똥별이 흐르는 시기와 각도, 시간까지도 알 수 있어서 날씨만 좋다면 볼 수 있어.」",
「でも遠花火はそれが分からないから、いつ見えるのか分からない。その動画も、投稿者の方がすごく運が良くて撮れたものなんだ」,“但是空焰火的这些东西就无人知晓，所以也不知道何时能够观测到。就连那个视频，也是投稿人运气好才拍到的。”,「그런데 별꽃은 예측할 수 없어서 언제 나타날지 몰라. 그 영상도 업로더가 운이 엄청나게 좋았던 거지.」,
「くるかも分からない遠花火を待って、ずっと動画をまわしていないといけないし、狙った方角にくるとも限らないしね」,“为了拍空焰火，就必须一直等着，不仅不知道空焰火会不会来，就连拍摄的方向都不能够确定。”,「언제 올지 모르는데 계속 촬영을 돌려야 하고 원하는 방향으로 온다고 확신할 수도 없으니까.」,
「ともき」,“智纪。”,「토모키.」,
ユエナがスマホを見たまま話しかける。,由依奈看着手机向我搭话。,유에나가 스마트폰을 바라본 채로 말한다.,
「なに？」,“什么？”,「왜?」,
「ともきは、撮ったことある？」,“智纪，你拍到过吗？”,"「토모키는, 찍은 적 있어?」",
「ぼくはないよ。見たことはもちろん何度かあるけど」,“我没有啊，虽然看到过几次。”,「나는 없어. 본 적은 몇 번 있지만.」,
「撮らないの？」,“不拍吗？”,「안 찍었어?」,
「狙ったことはあるんだけどね、一度も撮れたことはない」,“虽然专门等过，但一次都没拍过。”,"「찍으려고 기다렸던 적은 있는데, 한 번도 못 찍었지.」",
遠花火を撮ろうとわざわざスマホ用のスタンドを買って、延長コードで充電器をのばしながら、寝ている間ベランダで撮影したことがある。,为了拍空焰火，我曾经特意准备了手机用的支架，用延长线给手机充电，然后睡觉的时候把手机摆在阳台一直摄影。,"별꽃을 찍기 위해 거치대를 사고 연장 코드로 충전기까지 끌어와, 자는 동안 베란다에서 촬영을 돌려놓은 적이 있다.",
朝起きて確認するも遠花火は全く写っていなかった。,早起确认时也是完全没有拍到。,아침에 일어나 확인해 보니 모두 허탕이었다.,
何度かやってみたけれど、朝何時間もの動画を確認するのが面倒くさくなって今ではやっていない。,虽然我试过好几次，但每次都要看几个小时的视频实在是太麻烦了，所以现在就没有搞了。,여러 번 더 시도해 봤지만 아침에 몇 시간짜리 영상을 확인하는 게 귀찮아져서 이제는 하지 않는다.,
もちろんそれ以外にも、たくさん、理由はあるんだけど。,虽然，除此之外，还有其他许许多多的理由。,물론 그것 말고도 여러 가지 이유가 있지만.,
「ともきは知りたい？」,“智纪想知道吗？”,「토모키는 알고 싶어?」,
「遠花火？」,“空焰火？”,「별꽃을?」,
こくりとユエナがうなずく。,她点了点头。,유에나가 고개를 끄덕인다.,
「うん……」,“嗯……”,「……응.」,
深くうなずいた。,我也深深点了头。,나는 깊이 고개를 끄덕였다.,
ぼくは一つの約束を頭の引き出しからだして、それを少し眺めてからまたしまう。,我从脑内抽屉里取出了一个约定，但看了看，就又放回去了。,어떤 한 약속을 머릿속 서랍에서 꺼낸 뒤 그것을 잠시 바라보다가 도로 넣는다.,
「宇宙とか結構すきだし、やっぱり知りたいって思うかな。理系科目は苦手なんだけどね」,“我还是挺喜欢宇宙的，应该还是想知道的吧。虽然我理科学得不怎么好。”,「알고 싶지. 우주에 꽤 관심이 있으니까. 이과 계열은 잘 못하지만.」,
「そう……」,“这样……”,「그래…….」,
ユエナの反応は微妙だった。,她的反应倒是有些微妙。,유에나의 반응은 미묘했다.,
最後の一言は蛇足だったなと少し後悔して、ぼくは気を取り直す。,看来最后那句有些多余了，我有些后悔，但还是继续说道。,괜한 사족을 붙였나. 나는 약간의 후회를 삼키고 기분을 새로이 했다.,
「ユエナはさ、知りたくない？」,“由依奈啊，你不想知道吗？”,"「유에나는, 알고 싶지 않아?」",
「遠花火？」,“空焰火？”,「별꽃을?」,
「うん」,“嗯。”,「응.」,
「ボクは……知りたくない」,“我……不想知道。”,「나는…… 알고 싶지 않아.」,
少し意外な答えだった。,她这回答有些让我意外。,예상 외의 답변이 돌아왔다.,
「そ、そうなんだ。知りたくない人もやっぱりいるんだね」,“这，这样啊，果然还是有人不想知道啊。”,"「그, 그렇구나. 안 궁금한 사람도 당연히 있겠지.」",
ぼくのまわりではあまりいないけど、遠花火の正体を知りたくない人も一定数いる。,虽然我周围没多少，但我知道还是有人不太想知道空焰火到底是什么的。,내 주위에는 없지만 별꽃의 정체를 알고 싶지 않다는 사람도 분명히 있다.,
「ユエナはロマンチストなんだね」,“由依奈好浪漫啊。”,「유에나는 로맨티스트구나.」,
「ロマンチスト？」,“浪漫？”,「로맨티스트?」,
「そう。遠花火の正体が知りたくない人はロマンチストな人が多いっていう勝手なイメージなんだけど」,“嗯，虽然只是我个人印象，但不想知道空焰火真身的人，基本都挺浪漫的。”,「응. 대부분 로맨티스트들이 별꽃의 정체를 궁금해하지 않는 것 같더라고. 그냥 나 혼자 그렇게 생각하는 거야.」,
ユエナは首をかしげている。,由依奈歪了歪脑袋。,유에나는 고개를 갸웃거리고 있다.,
「ほら、流れ星なんかそうじゃない？」,“你想啊，流星不就是那样吗？”,"「봐. 별똥별도 그렇지 않아?」",
「流れ星の正体は彗星の放出したチリが地球の大気との摩擦で燃えているでしょ？　そうやって聞くと実は流れ星ってそんなに綺麗なものじゃないって思う人もいるらしいんだ」,“所谓流星，不就是彗星碎片和地球大气摩擦的结果吗？然后，有人听到这些后，貌似就不会觉得流星是那么漂亮的东西了。”,"「별똥별의 실체는, 혜성이 방출한 먼지가 지구 대기와 마찰해서 불타는 거잖아? 그걸 알고 나면 별똥별이 예쁘게 보이지 않는다는 사람들도 있대.」",
「だからもし遠花火の正体が分かっちゃうとあまりロマンチックではない……あ」,“所以，如果知道空焰火的真相，或许就不是那么浪漫……了吧。”,「그래서 만약 별꽃의 정체가 밝혀지면 로맨틱하지 않다는…… 아.」,
ひとしきり、つい調子に乗って説明してしまい大事なことに気づく。,一上头就做了说明，说完了才意识到一件很重要的事情。,혼자 신나서 한참을 떠들다가 순간 자신의 실수를 깨달았다.,
「ごめんユエナ！」,“抱歉由依奈！”,"「미안해, 유에나!」",
「んぇ？」,“哎？”,「으응?」,
ちょっとびくりとした様子で、きょとんとユエナが再び首を傾げる。,由依奈有些吃惊，又歪了歪脑袋。,"조금 놀란 듯, 어리둥절한 유에나가 다시 고개를 갸웃거린다.",
「得意気に流れ星のこと言っちゃった」,“不小心得意洋洋地说起流星了。”,「생각이 짧았어. 별똥별 얘기까지 해버렸네.」,
ユエナが遠花火のことを知りたくないといったならば、当然流れ星のことだって知りたくないはずなのに。ぼくはつい夢中になって知識をひけらかしてしまった。,既然由依奈不想了解空焰火，那么流星肯定也不想了解，可我却自顾自地秀起了知识水平。,"별꽃에 대해 알기 원하지 않는다면, 당연히 별똥별에 관해서도 알고 싶지 않을 텐데. 나는 그만 무아지경으로 지식을 과시하고 말았다.",
大してない知識をひけらかすのはぼくの悪い癖だ。,明明水平不高却还是喜欢秀，真是个不好的习惯。,대단찮은 지식을 과시하는 것이 나의 나쁜 버릇이다.,
話しているのが女の子だとつい調子に乗ってしまう。,一旦面对女孩子，就特别容易犯这个毛病。,대화 상대가 여자라서 그만 들떠버렸다.,
そういえば、こういうことが前にも……。,说起来，以前也有过这样的事……,"그러고 보니, 전에도 이런 말을 했던 것 같은 기분이…….",
「……ふふっ」,“……嘻嘻。”,「……후후.」,
ユエナが笑う。,由依奈笑了出来。,유에나가 웃는다.,
「ともき、昨日も言ってた」,“智纪，昨天也说过的吧。”,"「토모키, 어제도 말했어.」",
昨日？,昨天？,어제?,
ぼくは昨夜を思い出す。,我回想起昨晚。,나는 어젯밤을 돌이켜보았다.,
……確かに、昨日も得意気に話していた気がする。,……确实，昨天好像也得意洋洋地说了一通。,……어제도 신나게 떠들었던 느낌이 든다.,
「重ね重ねごめん」,“每次都这样，真对不起。”,「더 미안해졌네.」,
「んふふ、だいじょうぶ」,“哈哈，没事的。”,"「우후후, 괜찮아.」",
ユエナはなぜだか嬉しそうにニコッと笑った。,不知怎么的，她有些开心的笑了一下。,유에나는 어째선지 기분 좋게 빙긋 웃었다.,
「笑った……」,“笑了……”,「웃었다…….」,
つい思ったことを口に出す。,下意识就说出口了。,무심코 생각이 입 밖으로 튀어나온다.,
「ん？」,“嗯？”,「응?」,
「ユエナが笑ってくれたなって思って、その……嬉しいというか安心したというか。ぼくの話しは面白くないのかと思って心配で」,“我是说你终于笑出来了，因为……我担心我的话很无聊，看你笑出来了，我就有些开心，或者说放心下来了。”,"「유에나가 웃어주니까, 그…… 기분이 좋다고 해야 되나, 안심이 된다고 해야 되나. 내 얘기가 재미없는 건가 걱정했거든.」",
「ともきは、面白いよ」,“智纪，很有意思哦。”,"「토모키는, 재미있어.」",
「そ、そう！？」,“是，是吗？！”,"「그, 그래!?」",
褒められて安易にテンションがあがる。,我一被夸就容易兴奋。,칭찬을 받으니 금세 기분이 고양된다.,
「もっと、知りたい。それと……」,“我还想，知道更多。然后……”,"「더, 알고 싶어. 그리고…….」",
「それと？」,“然后？”,「그리고?」,
「いつか、遠花火が分かったら、ともきから私に教えて」,“以后，等智纪明白空焰火是什么了，到时候就来告诉我吧。”,"「언젠가, 별꽃에 대해 알게 되면, 토모키가 나한테 가르쳐 줘.」",
「え、そ、それはもちろん！　いいの？」,“啊，那，那肯定的！不过可以吗？”,"「아, 그, 그거야 어렵지 않지! 그래도 돼?」",
「うん命令。……命令？　ううん、約束」,“嗯，命令……命令？不对，是约定。”,"「응. 명령. ……명령? 아니, 약속.」",
ユエナがまっすぐぼくを見つめる。,由依奈直直地看着我。,유에나가 나를 똑바로 바라본다.,
その瞳は、輝いてるようにみえた。,她的眼神似乎是闪闪发光的。,"그 눈동자가, 마치 빛나는 듯 영롱하다.",
「うん、わかった！」,“嗯，知道了！”,"「응, 알겠어!」",
