jp,cn,kr,en
なぜだかユエナは泉の中央でびしょ濡れでいた。,不知为何她站在泉水中央浑身湿透。,어째선지 유에나는 샘 가운데에 잠긴 상태였다.,
それからユエナに遠花火を教えて、カップラーメンを食べて、三人で天体観測をして、そして空を飛んだ。,之后给她讲了空焰火、一起吃了泡面、三个人一起天文观测，然后在天上飞。,"그 뒤로 유에나에게 별꽃에 대해 알려주고, 컵라면을 먹고, 셋이서 천체 관측을 했다. 그리고 하늘을 날았다.",
「まるで、主人公みたいだ」,“简直，就像是主人公一样啊。”,「어디 주인공 같네.」,
なんでもなかった緩やかな日常が、加速し始めた錯覚を覚える。,平平淡淡的日常开始产生加速的错觉。,별 볼일 없던 평온한 일상이 가속되는 듯한 착각을 느낀다.,
もしもぼくがこの物語に名前をつけるならなんてつけるだろう。,如果要给这个故事起名字，我会起什么样的名字呢？,만약 내가 이 이야기에 이름을 짓는다면 뭐라고 하게 될까.,
どうせならかっこいいのをつけたい。,要起名字，那就得起个帅气一点的。,이왕이면 멋지게 붙이고 싶다.,
「うーん、すぐには思いつかないや」,“唔……一时间想不出合适的。”,「음ー 바로 떠오르진 않는다.」,
ぼくはタイトルは後で決める人だから、まだタイトルはつけられない。,我是写完再决定标题的那种，所以现在先不起名字。,나는 타이틀을 나중에 정하는 사람이라서 아직 붙이지 못하겠다.,
これからぼくらは、少なくとも先輩が卒業していくまでは、三人でなんでもない日常を過ごすのだと思う。,从现在开始，至少到学姐毕业之前，我们三个人都会过着平平无奇的日常生活吧。,"이제부터 우리는, 적어도 선배님이 졸업하기 전까지는 셋이서 별것 아닌 일상을 보내게 될 것이다.",
部室でお茶を飲んで、空を飛んで遊んだりして、夜はまた天体観測なんかして。,在活动室喝喝茶，在天上飞一飞，晚上再去天文观测。,"부실에서 차를 마시고, 하늘을 날면서 놀고, 밤에는 또 천체 관측을 하면서.",
そして週末は三人ででかけるかもしれない。,说不定周末还会三个人一起出门。,그리고 주말엔 셋이서 어딘가 놀러 가게 될지도 모른다.,
ユエナの目的も、先輩の卒業も今は考えない。,无论由依奈的目的还是学姐毕业的事，现在都不去想。,유에나의 목적이나 선배님의 졸업은 아직 생각하지 않을 것이다.,
だから今は、それらが楽しみだ。,首先，来享受现在吧。,"그러니까 지금은, 앞으로 있을 일들이 기대된다.",
「よし」,“好。”,「좋아.」,
ぼくは立ち上がり、夕飯を食べにいくことにする。,我站起来，准备下楼吃饭。,나는 식사를 하기 위해 자리에서 일어났다.,
遠くにあると思っていたユエナという非日常が、きっとぼくの現実に溶けこんで、そうやってまた世界はゆっくりまわっていくのだろう。,本以为由依奈这样特别的非日常离我很遥远。但想必在这不断流转的世界里，她会融入我的现实之中吧。,"먼 곳에 있다고 생각했던, 유에나라는 비일상이 내 현실 속에 녹아들었다. 그렇게 또 세상은 천천히 돌아가게 되겠지.",
扉をあけ部屋をでる。,打开房门。,문을 열고 방을 나선다.,
廊下は雨の音が響いていた。,走廊里雨声更清晰。,복도에 빗소리가 들려왔다.,
「おにいちゃん、まだー？」,“哥哥，还不来吗——？”,"여동생「오빠, 아직이야ー?」",
下で妹が呼んでいる。,妹妹在楼下叫我。,아래에서 여동생이 부른다.,
「今行く」,“这就下去。”,「지금 가.」,
そう返事をする。,我这么回答着。,그렇게 대답한다.,
ぼくはもしかしたら飛べるようになっているかもしれないと思って、階段を四段上から飛び降りてみる。,说不定我能飞了——这么想着，我从四阶楼梯的位置跳了下去。,나는 어쩌면 날 수 있게 됐을지도 모른다는 생각에 계단을 네 개씩 뛰어 보았다.,
「いてっ！」,“疼！”,「아야!」,
ドタドタッとものが転がり落ちる音が響く。,楼梯上传来东西滚落的声音。,우당탕 하고 물건 굴러떨어지는 소리가 난다.,
落ちたのはもちろんぼくだ。,当然，落下去的是我。,떨어진 건 물론 나다.,
かろうじて着いた足の裏にしびれがはしる。,勉强着地的脚底发麻。,간신히 착지하니 발바닥이 저렸다.,
当然ぼくは重力に打ち勝つことなく、空を飛べることなんてなかった。,我并不能战胜重力，也没能在空中飞翔。,역시나 난 중력을 거스를 수 없었고 하늘을 날 수 없었다.,
「いいんだ、ぼくは明日、またユエナと飛ぶんだ」,“无所谓，明天再和由依奈一起飞。”,"「괜찮아. 난 내일, 다시 유에나랑 날면 돼.」",
そう呟いて、そのためにはユエナと手を繋がなければならないことをなぜか思い出して、,我小声嘟哝着，同时不知为什么又想起要飞就必须牵着由依奈的手这件事。,그러기 위해서 유에나와 손을 잡아야 한다는 것이 떠올라서,
その日の夕飯は喉を通らなかった。,结果，我没有吃晚饭。,왠지 그날 저녁밥은 잘 넘어가지 않았다.,
予報通り月曜には雨はあがった。,如天气预报所说，周一雨停了。,예상대로 월요일에는 비가 그쳤다.,
ぼくは教室へ入り、鞄を机に置く。,我走进教室，放下书包。,나는 교실에 들어가 가방을 책상에 놓았다.,
週明けだからか、こころなしか、みんな元気がないように見える。,也许是我心理作用？大家看起来都没什么精神。是因为新一周开始的缘故吗？,월요일이라 그런지 다들 기운이 없어 보인다.,
「よっす」,“哟！”,코세이「왔냐.」,
鞄から教科書をとりだして机にしまっていると航生が登校してくる。,从书包里拿出课本放在桌上的时候，航生来了。,가방에서 교과서를 꺼내 책상에 넣고 있으려니 코세이가 교실로 들어온다.,
「おはよ」,“早啊。”,「안녕.」,
「おう」,“哦。”,코세이「어.」,
航生はどさっと鞄を机において座る。,航生把书包往桌上一扔，坐在位子上。,코세이는 가방을 책상에 내려놓고 털썩 앉았다.,
「月曜の始まりだぜ、やだなあ」,“又是周一了，不爽啊。”,코세이「월요일이야. 너무 싫다.」,
「そうだね、同感」,“我也有同感。”,「그러니까. 완전.」,
「夏休みまでが遠すぎる、もうほぼ夏なんだから休みでよくね？」,“暑假太遥远了。现在已经是夏天，也该放假了吧？”,코세이「여름방학까지 너무 멀어. 이제 거의 여름이니까 쉬면 되지 않나?」,
航生は制服をつまんでパタパタとする。,航生拉着校服不停扇风。,코세이가 교복 앞섶을 잡고 팔락팔락 흔든다.,
「そのまえにテストあるけどね」,“放假前可还有考试呢。”,「그 전에 시험이 있지.」,
「だな、だるいわ」,“怠惰，不想动啊。”,코세이「그러네. 지루하다.」,
そんなことを言いつつも航生はそこまで成績は悪くなく、割としっかり勉強するタイプだ。,航生虽然嘴上这么说，但成绩并不差。其实他挺爱学习的。,그렇게 말은 하지만 코세이는 의외로 착실히 공부하기에 성적이 나쁘지 않다.,
いつもぼくは見た目と性格が合ってないよね、と思う。,我一直觉得他的外表和性格很不搭。,난 항상 녀석이 외모와 성격이 잘 안 맞는다고 생각한다.,
「なんだ？」,“干嘛？”,코세이「뭔데?」,
「いや、なんでも。あ……」,“没啥。啊……”,「아무것도 아냐. 아…….」,
「どした？」,“怎么了？”,코세이「왜 그래?」,
ぼくが普段と違う表情でもしたのか、航生が椅子ごとぼくのほうへ寄ってくる。,大概是看我表情和平时不太一样，航生拖着椅子靠了过来。,"내가 평소와 다른 표정을 지었는지, 코세이가 의자를 끌고 내 쪽으로 다가온다.",
椅子の足が床をけずるようなガガッとした音が響いた。,椅子腿发出在地上拖动的声音。,의자 다리가 바닥을 드르륵 긁는다.,
「あのさ」,“你觉得……”,「있잖아.」,
ぼくは話し始めてからやっぱり言わなければよかったかもと思いながら、動いた口は止まらず喋り続ける。,刚一开口我就有点后悔，但还是继续说了下去。,나는 말을 꺼낸 순간 말하지 말았어야 했다고 생각했지만 이미 열린 입은 멈추지 못했다.,
「おんなのこ……女子と手をつなぐにはどうすればいいと思う？」,“想要……和女生牵手应该怎么做？”,「여자애…… 여자랑 손을 잡으려면 어떻게 해야 할까?」,
「……は？」,“……啥？”,코세이「……뭐?」,
航生の頭上には「ぽかーん」という文字が似合いそうなほど、口をあけてぼくをみていた。,航生张着嘴看着我，露出了一脸呆滞的样子。,코세이는 「어이가 없네」하는 표정으로 입을 턱 벌리고 나를 쳐다보았다.,
「お、おまえ……もしや東雲先輩……」,“你、你该不会是……和东云学姐……”,"코세이「아니, 너……. 설마 시노노메 선배…….」",
「ち、違う違う！」,“不、不是不是！”,"「아, 아니야! 아니야!」",
ぼくは大声で遮るように叫びながら手をぶんぶんと振る。,我挥着手大声打断他。,나는 손을 휘휘 저으며 큰 목소리로 말을 가로챘다.,
大声をあげたせいで教室にいる皆からなにごとだと注目されてしまった。,因为我突然喊起来，全班的视线都集中在了我身上。,큰소리를 낸 탓에 교실에 있던 사람들이 모두 이쪽을 주목했다.,
視線が痛い。,好扎人。,시선이 따갑다.,
「違うからね？」,“真的不是啊。”,「아니거든?」,
こそっと航生に告げて、ぼくはぺこぺことまわりに頭を下げておく。,我又小声跟航生强调了一遍，不住朝周围低着头。,나는 코세이에게 슬쩍 이야기하며 주변에 미안하다는 표시를 보냈다.,
「じゃあ誰なんだよ」,“不是的话是谁？”,코세이「그럼 누군데.」,
「いや、特にそういうわけじゃ……」,“没有，并不是特定要跟谁牵手……”,"「아니, 딱히 누굴 생각한 게…….」",
やっぱり言って後悔した。,果然不应该说啊。,역시 괜한 소릴 했다.,
まだ先輩のことなら航生には言えたのかもしれない。でも、,如果是跟学姐有关的事跟航生说没什么。,선배님에 관해서라면 코세이에게 말할 수 있다.,
ユエナのことは、さすがに言えない。,但由依奈的事还是不能跟他说。,하지만 유에나라면 이야기가 달라진다.,
そもそもなんでぼくはユエナと手を繋ぐことに今更ドキドキしているんだろう。,话说，为什么事到如今我开始为跟由依奈牵手的事心跳加速啊？,그보다 난 왜 유에나와 손을 잡는 것에 새삼 두근거림을 느끼는 것일까.,
無意識だったとはいえ、泉でカップラーメンを食べた日の時も、先週空を飛んだ時も、何の気なしに手を繋いでいたわけじゃないか。,虽然之前都没有很在意，但在泉水边吃泡面的时候、上周一起飞的时候，都能很随意地拉起她的手。,"무의식이었다고 하지만 샘에서 컵라면을 먹던 날에도, 지난주 하늘을 날았을 때도, 아무런 거리낌 없이 손을 잡지 않았던가.",
なんでそれを今更……。,为什么我现在反而……,그런데 왜 이제 와서…….,
「おーい、ぶつぶつ一人で何言っているんだ？」,“喂——你一个人在那嘟囔什么呢？”,코세이「야ー 혼자서 뭘 중얼중얼 하는 건데?」,
航生が顔の前で手を振っている。,航生在我眼前挥着手。,코세이가 눈앞에서 손을 흔든다.,
「な、なんでも……」,“没、没什么……”,"「아, 아무것도…….」",
「ま、相手が東雲先輩でもなんでもいいけどさ、付き合ってるなら黙って繋ぐか繋ぎたいって言えばいいんだよ」,“行吧，反正不管对方是东云学姐还是谁的，如果是女朋友的话，想牵手的时候直接说或者直接牵不就行了？”,"코세이「상대방이 시노노메 선배님이든 누구든 상관없는데, 사귀는 거라면 그냥 잡거나 잡겠다고 말하면 되잖아.」",
「てかそもそも、手繋ぎたいくらいで相談するなよ、せめてキスとかにしてくれ。俺たち中学二年だぞ？」,“再说了，不过牵个手而已至于还找人商量？至少到接吻那一步再说啊。咱们可都初二了。”,코세이「아니 그리고 겨우 그런 걸로 분위기 잡지 마. 적어도 키스 정도는 돼야지. 우리 중2거든?」,
「そ、そんなのするわけないだろう！？」,“怎、怎么可能啊？！”,"「그, 그런 걸 내가 왜 해!?」",
慌てて否定する。,我慌忙否定。,황급히 부정한다.,
否定してから、中学二年生ってそこまで大人じゃないでしょ、と思う。,初二根本算不上是大人吧？——同时这么想着。,"부정한 후에야 중학교 2학년이 그렇게까지 어른은 아니잖아, 하고 생각한다.",
ぼくらはもうそんな大人なんだろうか。中学二年生は大人なんだろうか。,我们已经长大了吗？初二学生能算是大人吗？,우리가 벌써 그 정도로 큰 것일까. 중학교 2학년이면 어른인 걸까.,
それともキスが大人のものだと思っているぼくは子供なんだろうか。,还是说，觉得接吻是大人的事的我，依然是个孩子呢？,아니면 키스가 어른의 전유물이라 여기는 내 생각이 어린 것일까.,
わからない。,搞不懂。,모르겠다.,
「あと先輩じゃないし、そもそも付き合ってないし……」,“再说不是学姐，也不是女朋友。”,"「그리고 선배도 아니고, 애초에 사귀는 것도 아니고…….」",
「付き合ってないのかよ、なら手を繋ぐことを目的とするな」,“原来不是女朋友啊，那就不要把牵手当成目的。”,코세이「사귀는 것도 아니냐. 그럼 손을 잡는 데에 목적을 두면 안 되지.」,
「ん？」,“嗯？”,「응?」,
なんだか航生らしくない言い方だ。,感觉这不像他的说话风格。,어쩐지 코세이답지 않은 말투다.,
「どういうこと？」,“什么意思？”,「무슨 말이야?」,
「手段にするんだよ。何かをするために手を繋がなくちゃいけない、みたいに」,“要当成手段啊。就是说，要以达成什么目的而去牵手。”,코세이「목적이 아니라 수단으로 생각하는 거야. 뭔가를 하기 위해서 손을 잡아야 한다는 상황을 만드는 거지.」,
「へ、へえ……手段ね」,“啊、啊？……手段？”,"「아, 아아…… 수단이라.」",
ぼくは考えてみる。,想了一下。,한번 생각해 봤다.,
――あ。,——啊。,――아.,
確かに航生の言う通りだ。,航生说得没错。,확실히 코세이 말이 맞다.,
そもそもぼくはユエナと手を繋ぐことが目的ではなく、本来の目的は空を飛ぶことだ。,跟由依奈牵手并不是我的目的，我原本的目的是要在天上飞。,"유에나와 손을 잡는 것이 목적이 아니라, 하늘을 나는 것이 원래 목적이다.",
もともと手を繋ぐことは航生の言う通り手段だった。,本身我要牵手就是如航生所说的手段。,손을 잡는 건 코세이가 말한 대로 수단일 뿐이다.,
だけどいつのまにかぼくは手を繋がなければ飛べない、ということばかり考えて一人で無駄に悩んでいたのだ。,但却不知不觉变成了不牵手就没办法飞，结果一个人在这想些有的没的。,하지만 언제부턴가 나는 손을 잡아야만 날 수 있다는 생각에 사로잡혀 혼자 괜한 고민을 했다.,
心が軽くなる。,这下轻松多了。,마음이 가벼워진다.,
「航生、ありがとう」,“谢谢你，航生。”,"「코세이, 고마워.」",
「なんだよ、解決しちゃうのかよ」,“怎么？烦恼解决了？”,코세이「뭐야. 이걸로 갑자기 해결된 거냐.」,
航生はなぜか呆れている。,不知为何航生露出一脸无语。,코세이가 어이없어한다.,
「じゃ、今日の給食のしゅうまい一個くれよ」,“那今天午饭的烧麦分我一个啊。”,코세이「그럼 오늘 급식에 찐만두 하나 줘.」,
「いいよ」,“行。”,「알았어.」,
「交渉成立」,“谈判成立。”,코세이「거래 확인.」,
航生が拳をだしてくるので、ぼくも迷いながらも拳を出す。,航生伸出拳头，我犹豫了一下也伸了过去。,코세이가 주먹을 내밀었다. 나는 주저하면서도 주먹을 슬며시 들었다.,
「いてっ」,“疼。”,「아야.」,
航生が恐る恐るだしたぼくの拳にガツンと当てた。,航生猛地锤了一下我的拳头。,코세이가 머뭇거리는 내 주먹에 힘차게 맞댔다.,
ぼくは、さすさすと当てた場所をさすりながら聞く。,我揉着被他锤的地方问他。,나는 주먹을 문지르면서 물었다.,
「航生って、そんな恋愛マスターだっけ？」,“航生，我怎么不知道你还是个恋爱大师？”,「근데 코세이. 네가 그렇게 연애 박사였나?」,
「恋愛マスターって名前ださなくね？」,“恋爱大师这个名字也太土了吧？”,코세이「연애 박사란 말 촌스럽지 않냐?」,
「え、うん、まあたしかに」,“呃，嗯，是有点。”,"「어, 응. 그러네.」",
言われてみたらそうだ。,这么一说是有点土。,생각해 보니 그렇다.,
「まあいいけど。それに俺は恋愛マスターでもなんでもねえよ、姉ちゃんの漫画見てたらそんなこと書いてあっただけ」,“无所谓，反正我也不是什么恋爱大师，只是姐姐看的漫画上这么写的。”,코세이「아무렴 어때. 그리고 난 연애 박사도 뭣도 아니야. 누나 거 만화 보니까 그런 말이 써 있었어.」,
「なるほどね。でも航生がモテる理由がよくわかった」,“原来如此。不过我看明白你为什么有女人缘了。”,「그렇구나. 그래도 네가 인기 많은 이유를 알 것 같네.」,
「興味ないけどな」,“我可没什么兴趣。”,코세이「관심은 없지만.」,
「知ってる」,“我懂。”,「그래 보여.」,
航生はモテるけど、恋愛ごとに本当に興味がない。ちなみにボーイをラブというわけでもない。,航生很有女生缘，但对谈恋爱完全没有兴趣。当然，也不是说他是弯的。,코세이는 인기가 많지만 연애 쪽엔 흥미가 없다. 덧붙여 Boy를 Love하는 것도 아니다.,
単順に、付き合ったとしてなにしたらいいか分からない、というピュアな理由によって恋愛には興味を持たないようにしているらしい。,似乎单纯只是因为不知道交往以后该做些什么这样青涩的理由而对恋爱不感兴趣。,"사귄다면 뭘 해야 할지 모르겠다, 하는 단순하고 순수한 이유로 연애에 흥미가 생기지 않는다고 한다.",
そんなことをいつだったか聞いたときに、こういうやつが本当にモテるやつなんだなとぼくは思った。,还记得当初听他这么说的时候我就觉得，就是他这样的人会格外招人喜欢吧。,"언젠가 그 말을 들었을 때, 이런 녀석이 인기를 끄는 거구나 하고 나는 깨달았다.",
「あ」,“啊。”,「아.」,
「お」,“哦。”,코세이「오.」,
チャイムが鳴った。,打铃了。,종소리가 울렸다.,
いつのまにか教室は人が増えている。,不知不觉大家都到教室了。,어느새 교실에 사람이 늘어나 있었다.,
やがて担任が入ってきて一日が始まった。,班主任走进教室宣布着一天的开始。,곧 담임 선생님이 들어와 오늘 하루를 시작한다.,
あんな話をしたからか、前の席の航生の背中が途端大人に見えて、ぼくはそれが少しだけ悔しかった。,因为刚才聊过那些，现在看起来坐在我前面的航生的背影看起来显得成熟了一些，这让我有点不甘心。,"이런 이야기를 했기 때문일까, 앞자리 코세이의 등이 순간 어른처럼 보였다. 나는 그것이 분했다.",
今日一日の授業は終わり今からは部活の時間だ。,一天的课程结束后，现在是社团活动时间。,오늘 하루 수업이 끝나고 지금부터는 동아리 시간이다.,
「ふぅ」,“呼～”,「후우.」,
今は少しだけ足取りが重い。これでは先輩よりはやく部室には行けない。,今天我的脚步略显沉重。肯定不可能比学姐早到活动室了。,발걸음이 다소 무겁다. 이래선 선배님보다 빨리 부실에 갈 수 없다.,
別に告白をするわけでもないし、なにかやましいことをお願いするわけでもない。,并不是要表白，也不是要提什么问心有愧的要求。,고백을 할 것도 아니고 무언가 꺼림칙한 부탁을 할 것도 아니다.,
なのにぼくは、,然而我——,그런데도 나는,
「はぁ」,“哎……”,「하아.」,
どうしても僅かな緊張を孕んだため息がでる。,却怎么也止不住紧张的叹息。,긴장감에 한숨이 흐르는 것을 막을 수 없었다.,
けれど足は止めずやがて言の葉サークルの部室までやってきた。,不过脚步也没有停下，终于到了茶言阅社的门口。,하지만 발걸음을 멈출 수 없어 끝내 말소리 서클 부실에 도착했다.,
部室の前で一度深呼吸して、トン、トンとノックをする。,我在活动室门前深呼吸了一下，敲响了门。,부실 앞에서 숨을 크게 고르고 똑똑 노크한다.,
すると、,之后——,그러자,
「はいりたまえ」,“请进吧。”,「들어오도록.」,
いつも通り、先輩の声が中からする。,学姐的声音和平时一样。,언제나처럼 선배님의 목소리가 들려온다.,
しかしその声はいつもより少し遠く感じて、珍しく読書をしていないのかなと思いながらドアノブをまわす。,不过听起来距离比平时与远一些，想着难得学姐没在看书，我扭动门把手。,그런데 목소리가 평소보다 멀게 느껴졌다. 독서를 안 하고 계신 건가 생각하며 문고리를 돌린다.,
「あれ？」,“咦？”,「응?」,
なぜかドアノブは回らず、ガチャガチャと音をたてるばかりだ。,咔嚓咔嚓，门拧不开。,어째선지 문고리는 돌아가지 않고 철컥거리기만 할 뿐이다.,
「先輩、鍵かかってますけどー」,“学姐，门锁着呢。”,「선배님. 열쇠가 걸려 있는데요ー」,
ぼくは部室にいるだろう先輩に声をかける。,我叫着活动室里的学姐。,나는 부실 안에 있을 선배님께 말을 던졌다.,
新手のからかいだろうか。でもこんなこと先輩がするように思えないしなと思っていると声がかかる。,这又是什么新的戏弄我的方法吗？不过感觉学姐大概不会这么做吧。,신종 조롱 수법인가. 하지만 선배님이 굳이 그런 짓을 할 것 같지는 않다. 잠시 고민하고 있노라니 안에서 목소리가 들려온다.,
「おっと、すまない。今開ける」,“哎呀，抱歉，我这就开门。”,"「이런, 미안하군. 지금 연다.」",
先輩の声が扉を一枚挟んだすぐそこに聞こえた。,学姐的声音就在门口传来。,선배님의 목소리가 문 바로 저편에서 들린다.,
ガチャッと鍵が開く音がして、ぼくは扉をおそるおそるドアノブをひねる。,听到开锁的声音之后，我小心翼翼地拧开门。,"찰칵 하고 자물쇠 풀리는 소리가 난 뒤, 나는 천천히 문고리를 비틀었다.",
「先輩、なんで鍵なんか……」,“学姐，为什么锁门……？”,「선배님. 왜 자물쇠가…….」,
扉を開ける。そこに、,我打开门，看到的是——,문을 연다. 그러자,
――ユエナと先輩が、楽しそうに空を飛んでいた。,学姐正和由依奈开心地在空中飞。,"――유에나와 선배님이, 즐거운 듯이 하늘을 날고 있었다.",
先週のように、先輩がユエナに手をひかれ、音もなく宙に浮いている。,和上周一样，学姐拉着由依奈的手静静飘在空中。,지난주처럼 선배님이 유에나의 손을 잡고 고요하게 하늘을 부유하고 있다.,
「あ、ズルい！」,“啊，学姐好狡猾！”,"「아, 치사해!」",
思わず声をあげる。,我禁不住叫出声。,나도 모르게 목소리가 나왔다.,
けれど確かにこれはうっかり見られでもしたら大変だ。先輩が鍵をかけていた理由が分かる。,不过确实，这要是不小心被人看到就不得了了。所以学姐才锁了门。,하지만 깜빡 이런 장면을 보였다간 큰일이 날 것이다. 선배님이 문을 잠근 이유를 알았다.,
「扉をはやくしめたまえ」,“快点把门关上。”,「어서 문을 닫도록.」,
ぼくは慌てて扉を閉め、鍵をかける。,我慌忙关上门上了锁。,나는 허둥지둥 문을 닫고 자물쇠를 걸었다.,
鞄を机の上に放り投げ、宙を舞う二人を見上げる。,把书包往桌上一扔，看着空中飘着的两人。,가방을 책상 위에 던지고 하늘에 뜬 두 사람을 올려다본다.,
泳ぐように踊るように二人は飛んでいた。,如遨游、似起舞。,"두 사람은 헤엄치는 것처럼, 또 춤을 추는 것처럼 날아다닌다.",
「こんにちは、少年」,“下午好，少年。”,"「안녕, 소년.」",
「おはこんばんちわ、ともき」,“早中晚好，智纪。”,"「하이헬로안녕, 토모키.」",
「こ、こんにちは」,“下、下午好。”,"「아, 안녕.」",
ユエナがまた変な日本語を覚えている。,由依奈又学了奇怪的词。,유에나가 또 이상한 말을 배웠다.,
確かに一時期だれかがよく言ってた気もするけど。,好像某个时期某个角色经常这么说来着。,한때 누가 자주 쓰던 말이었던 거 같기도 한데.,
……ってそうじゃなくて、,……不对，这不是重点。,……그게 중요한 게 아니라,
「二人ともズルいですよ！　ぼくも飛ばせてください」,“你们两个太狡猾了！我也要飞！”,「둘 다 너무하네요! 저도 같이 날아요.」,
上空の二人に言う。,我朝着空中的两个人说着。,상공을 보며 두 사람에게 말한다.,
先輩とユエナはお互い顔を見合わせて、笑う。,学姐和由依奈相视一笑。,선배님과 유에나는 서로 얼굴을 마주하더니 웃는다.,
「？」,“嗯？”,「？」,
二人はやがてぼくを見下ろして、ユエナが口を開く。,然后低下头看着我。由依奈开口了。,곧 두 사람은 나를 내려다보았다. 유에나가 입을 연다.,
「ひこーりょう、三万三千円になります」,“飞行费——三万三千日元。”,"「비행료, 3만 3천 엔입니다.」",
先輩と繋いでいない片方の手をさしだして、,她把没和学姐牵着的手伸了过来——,유에나가 비어 있는 한쪽 손을 내밀며,
「んふふっ」,“哎嘿嘿。”,「우후후.」,
と微笑んだ。,露出微笑。,하고 미소 짓는다.,
「三万……なんかリアルだね」,“三万……还真现实。”,「3만…… 상당히 현실적이네.」,
いっそのこと百万円！　とでも言ってくれたほうがまだリアクションはとれるのに、本当にそれだけとられてもおかしくないくらいの数字をだされ戸惑う。,她要是干脆说个“一百万！”我可能还更好接茬。拿出来这么一个还挺合适的价格让我有点懵。,"차라리 100만 엔! 하고 말했다면 반응하기 쉬웠을 텐데, 적당히 합리적인 금액을 부르니 당황하게 된다.",
「スカイダイビングの料金がおよそそれくらいだ」,“跳伞运动差不多就是这个价格。”,「스카이 다이빙 요금이 대강 그 정도다.」,
あ、先輩が笑っている。,啊，学姐笑了。,"아, 선배님이 웃고 있다.",
やっぱり先輩の入れ知恵だった。,果然是学姐给她出的点子。,역시 선배님의 훈수였구나.,
「すい〜」,“咻～”,「슝~」,
ユエナと先輩がみせつけるように、ぼくの前を横切っていった。,像是故意在对我炫耀一样，由依奈和学姐从我面前飞过。,유에나와 선배님이 마치 과시하듯 내 앞을 가로지른다.,
「そういう先輩は払ったんですか？」,“那学姐付钱了吗？”,「그러는 선배님은 지불하셨어요?」,
「ふふっ」,“呵呵。”,「후훗.」,
先輩がニヤッと笑う。,学姐一脸坏笑。,선배님이 히죽 웃는다.,
ユエナと先輩はゆっくり机の上に移動し、静止する。,由依奈和学姐缓缓移动到桌子上空停下。,유에나와 선배님이 천천히 책상 위에 정지한다.,
先輩はユエナと繋いでいない手で器用に自分の鞄にチャックを開け、財布を取り出す。,学姐用空着的那只手灵巧地打开自己的书包，取出钱包。,선배님은 남은 손으로 자기 가방을 능숙하게 열고 지갑을 꺼냈다.,
