number,jp,cn,kr,en
14,少女はシートベルトをしっかりとつけて、足をプラプラとさせて、窓の向こうの動く暗闇を眺めている。,她牢牢地系好安全带，双脚晃来晃去，望着车窗外漆黑的景象。,소녀는 안전벨트를 단단히 착용하고 다리를 공중에 휘적이며 창밖에 흐르는 어둠을 바라보고 있다.,
15,『ふふっ』,‘嘻嘻。’,『후훗.』,
16,少女からこぼれる微笑みに、ぼくまで微笑みがこぼれてくる。,我被她的笑容所感染，也跟着露出了微笑。,소녀가 미소 짓자 나까지 웃음이 났다.,
17,ガタガタッ。,咣当、咣当。,덜컹덜컹.,
18,車の揺れがひどくなった。,汽车晃得越来越厉害。,차의 흔들림이 심해진다.,
19,山道に入ったのだ。,因为现在开上了山路。,산길에 들어선 것이다.,
20,でもその振動をぼくは感じない、これは夢だから。,但我并没有感受到车子的震动，因为这只是我的梦境。,하지만 나는 그 진동을 느끼지 못한다. 꿈이니까.,
21,なおもその振動は大きくなっていく。,汽车的摇晃变得愈发激烈。,점점 더 진동이 커진다.,
22,キーンと耳が鳴って音が聞こえづらくなってくる。,耳鸣声掩盖住了其他声音。,귀가 멍해지면서 소리가 잘 들리지 않는다.,
23,そしてぼくは、,而我此时在心中想道——,그리고 나는,
24,来る――。と思った。,那一幕就要来了。,온다――고 생각했다.,
25,『きゃっ……』,‘呀……’,『꺄악…….』,
26,すぐそばで聞こえた短い悲鳴。,身旁传来短促的惊叫。,바로 옆에서 들려온 짧은 비명.,
27,強制的に遮断された刹那の悲鳴が、耳にまとわりつく。,叫声转瞬即逝，仿佛被强制打断，却始终萦绕在我耳边。,강제로 끊어진 짧은 비명이 귓가에 맴돈다.,
28,何度見ても、何度見ても、何度見ても何度見ても何度見ても、変わらない結末。,无论目睹多少次，梦境的结局都不会改变。,"몇 번을 보아도, 몇 번을 보아도, 몇 번을 보고 또 보아도, 변하지 않는 결말.",
29,音はしなかった。,没有声音。,소리는 나지 않는다.,
30,痛みもしなかった。,也没有痛感。,고통도 느껴지지 않는다.,
31,ただ……見えていたものが、触れていたものが、そこにあったはずの世界が、,只不过……我所看到的事物，所触碰到的事物，本应存在的世界——,"다만…… 보이던 것들이, 손에 닿던 것들이, 거기에 있던 모든 세계가",
32,ぐちゃぐちゃになって、闇に飲み込まれていった。,都变得混乱不堪，被黑暗所吞噬。,뒤범벅이 되어 어둠 속으로 휘말려 든다.,
33,奪うということは、こういうことだと、まるで知らしめるように――。,仿佛是在告诉我，何谓剥夺——,마치 빼앗는다는 것이 무엇인지 알려주는 것처럼――,
34,「……うっ」,“……唔。”,「……윽.」,
35,寝苦しさを感じて目を覚ます。,我在不适感中醒来。,불편함을 느껴 잠에서 깬다.,
36,一瞬、この歳にもなっておねしょでもしたのかと見紛うほど汗をかいていた。,床单被我的汗水打湿，差点以为到了这个年纪居然还会尿床。,순간 이 나이 먹고 이불에 지도를 그린 것인가 착각했는데 다행히 땀이었다.,
37,「っはあ～」,“呼～”,「하아~」,
38,ベッドの上で大きく息をはく。,我在床上用力叹了口气。,침대 위에서 크게 숨을 뱉는다.,
39,またあの夢を見ていたんだと確信する。,确信自己又做了那个梦。,또 그 꿈을 꾸었구나 확신한다.,
40,止まっていた扇風機をつけて、びしょびしょの背中に風をあてた。,我打开停转的电风扇，对着湿漉漉的后背猛吹。,전원 꺼진 선풍기를 작동시킨 뒤 축축한 등을 바람으로 말린다.,
41,「慣れないなあ、いつまでも」,“不管多少次都没法习惯啊。”,「익숙해지질 않네.」,
42,扇風機に背を向け、風が背中に当たるように横になる。,我背对电扇躺下，让风能吹到后背。,바람이 등에 잘 닿도록 눕는다.,
43,汗が冷えていくのを感じながら、ぼくは夢を思い出す。,身上的汗珠渐渐冷却，我开始回忆那场梦。,땀이 식는 것을 느끼며 나는 꿈에 대해 회상했다.,
44,いや夢ではない。あの日のこと、あの夜あったことを思い出す。,不，那不是梦。是回忆中那一天、那个夜晚发生的事情。,"아니, 꿈이 아니다. 그날 일을, 그날 밤 있었던 일을 회상한다.",
45,あれはまだぼくが小学生の頃。,那时，我还是个小学生。,내가 초등학생일 때.,
46,今よりもずっと宇宙に憧れていた頃、近所に住む同い年の女の子とよく天体観測をしていた。,当时的我充满了对宇宙的向往，经常与住在附近同龄的女孩子一起进行天文观测。,"지금보다 훨씬 우주를 흠모하던 시절, 근처에 사는 동년배 여자아이와 자주 천체 관측을 했었다.",
47,天体観測というには少し大袈裟化もしれない。ただの、子供が星を見に行く、それだけのこと。,说是天文观测或许有些夸张，只不过是两个小孩子一起去看星星罢了。,"천체 관측이라고 하기에는 다소 표현이 과할지도 모르겠다. 그냥, 아이들이 별을 보러 가는 정도일 뿐이다.",
48,ふとベッドの横に置かれた小さな天体望遠鏡が気になって、身体を起こして覗く。,我忽然注意到床边的小型天文望远镜，于是支起身子仔细看了看。,문득 침대 옆에 놓인 작은 천체 망원경을 떠올린다. 몸을 일으켜 확인해 본다.,
49,「……きたない」,“……好脏。”,「……지저분해.」,
50,それは整然と、埃をかぶりながら、あの時から変わらない場所に鎮座している。,它仍整整齐齐放置在原位，上面已经遍布灰尘。,"먼지를 뒤집어쓴 채 가지런히, 그때부터 변함없이 같은 장소에 자리잡고 있다.",
51,軽く触れると埃が指の腹について、それをズボンでぬぐった。,摸一下就沾了一手灰，于是我用裤子擦了擦。,가볍게 만져 보니 손가락에 먼지가 묻는다. 나는 손을 바지에 닦았다.,
52,またベッドに横になって昔を思い出す。,然后再次躺倒在床，回忆过往。,다시 침대에 누워 과거를 떠올린다.,
53,宇宙を好きになった理由は、あまり覚えていない。,我是为何而爱上宇宙，其中的原因已经记不太清楚。,우주를 좋아하게 된 이유는 잘 기억나지 않는다.,
54,たしか病気で学校を休んだ時、家にいても暇じゃないかと親が買ってきたのが宇宙の漫画だったとか、,我记得是在患病休学的时期，父母担心我在家太过无聊就给我买了宇宙题材的漫画。,"몸이 아파 학교를 쉬었던 날, 집에만 있으면 심심하겠다며 부모님이 우주 만화를 사오셨다든가",
55,図書館で手に取った宇宙の本が面白かったからとか、宇宙の図鑑が魅力的だったとか、多分この辺りだと思う。,还有在图书馆找到的天文书籍吸引了我，宇宙图鉴也充满了吸引力，我想大约就是出于诸如此类的原因吧。,"도서관에서 우연히 본 우주 관련 책이 재밌었다든가, 우주 도감이 매력적이었다든가, 아마 그런 부류일 것이다.",
56,きっかけは、今となってはもうどうでもいい。,当时的契机，事到如今已经无关紧要。,이제 와서 계기가 무엇이었는지는 별 상관이 없다.,
57,おもむろにスマホを手に取って時間を確認する。,我缓缓拿起手机，查看时间。,천천히 스마트폰을 들어 시간을 확인한다.,
58,起きるには時間はまだ早い時間だ。,现在起床还太早了。,일어나기에는 아직 이른 시간이다.,
59,「……」,“……”,「…….」,
60,いくらか背中も乾いてきて、ぼくは身体を起こしてカーテンを開ける。,后背吹干一些以后，我起身拉开了窗帘。,"등을 적당히 말린 뒤, 나는 몸을 일으켜 커튼을 열었다.",
61,夏の太陽の光はまだこの部屋には差し込んでこない。,夏日的阳光尚未照入房间。,여름 햇빛은 아직 방 안에 닿지 않는다.,
62,空を見上げれば、有明の月がうっすらと、浅葱色の空に浮かんでいる。,仰望天空，还能在淡蓝的天空中隐约看到黎明的月影。,옥색 하늘을 올려다보니 달이 어렴풋하게 떠 있다.,
63,空を見上げるのが好きだった。,我曾经很喜欢仰望天空。,하늘을 좋아했다.,
64,宇宙について知るにつれて、宇宙というものは手には届かないけれど、ずっと近い場所にあることを知った。,在了解宇宙的过程中，我知道了宇宙虽然遥不可及，但与我们的距离其实比想象中近得多。,"우주에 관해 알게 되면서, 손이 닿지 않아도 아주 가까운 곳에 있다는 사실을 알게 되었다.",
65,だから親に、望遠鏡を買ってもらうためにすごくお願いした。,于是我恳求父母给我买一台望远镜。,그래서 부모님한테 망원경을 사 달라고 애원했다.,
66,だから条件だった、テストで100点は何度も取った。,为了满足父母开出的条件，我努力考了许多次100分。,그 조건으로 시험에서 수차례 만점을 받아 왔다.,
67,そうして買ってもらった望遠鏡をもって、夜遅い時間でも構わずに、近所の山の展望台に足を運んでいた。,然后我就会带着父母买的望远镜来到附近山上的瞭望台，哪怕是深夜时分也不例外。,"그렇게 얻은 망원경을 들고, 밤 늦은 시간에 근처 산 전망대로 향하곤 했다.",
68,「今日もある……いや、当たり前か」,“今天也在啊……不，这也是理所当然。”,"「오늘도 있네……. 뭐, 당연한가.」",
69,窓を覗き込むと、山の上に立つ展望台がここから見える。,透过窗户能看到山上的瞭望台。,창문을 내다보니 산 위에 지어진 전망대가 보인다.,
70,あの展望台を見ると思い出す。,看着那座瞭望台，我就会回忆起过往。,전망대를 보니 다시 생각난다.,
71,忘れられない思い出が、ぽこぽこと湧き上がってくる。,无法忘却的记忆不断涌上心头。,"잊을 수 없는 추억이, 보글보글 끓어오른다.",
72,ぼくは、あの夢の続きを思い出した。,我想起了那场梦的后续。,나는 꿈의 뒷이야기를 마저 떠올렸다.,
73,宇宙と、ある女の子が好きだった頃だ。,那时我热爱宇宙，还有一位心仪的女孩。,"우주, 그리고 한 여자아이를 좋아하던 그 시절.",
74,あの展望台に、ぼくらは天体観測をしに行っていた。,我们总是一起前往瞭望台进行天文观测。,우리는 천체 관측을 위해 전망대에 가고 있었다.,
75,学校が終わって、まだ星もでていない夕方の少し前から、空を見上げていた。,放学后还未到傍晚时分，天空中的星星还没有出现，我便开始仰望天空。,학교를 마치고 아직 별이 나지 않은 저녁부터 하늘을 올려다보았다.,
76,お菓子とジュースと望遠鏡を持って、自転車を展望台に走らせる。,带着点心、饮料和望远镜，骑着自行车赶往瞭望台。,"과자와 주스와 망원경을 들고, 자전거에 올라 전망대를 향해 달려간다.",
77,その時のワクワクと、風を切る感覚が、すごく好きだった。,我喜欢那时的心跳不已，以及骑车飞驰的感觉。,그때의 두근거림과 바람을 가르는 감각이 맘에 들었다.,
78,山道を、必死に自転車を漕いで登る。途中近道があって、そこは自転車では登れないからそこで自転車を降りる。,我拼命蹬着自行车骑上山路，半路上的近道骑车上不去，于是我便会在那里下车步行。,"자전거를 타고 열심히 산길을 오른다. 도중에 지름길이 있는데, 그곳은 자전거로 오를 수 없으니 거기서부터는 내려서 간다.",
79,ぼくが覚えている中では多分いつも、ぼくよりも早く女の子の自転車がそこに停めてあった。,在我的记忆之中，女孩的自行车总会先我一步停在那边。,내가 기억하기로는 항상 나보다 먼저 온 여자아이의 자전거가 세워져 있었다.,
80,近道の上に登っていって、展望台のある場所へ着く。そこは一応小さな公園となっている。,我顺着近路登上瞭望台所在的位置，那里有一座小型的公园。,지름길을 따라 올라가 전망대에 도착한다. 그곳은 작은 공원처럼 조성되어 있다.,
81,展望台と、石で出来た鳥居と、祠のようなものだけがある公園で、石碑に刻まれた公園の名前は荒んで見えなかった。,公园里只有瞭望台、石质的鸟居，以及一座像是祠堂的建筑。石碑上镌刻的公园名称已经一片模糊，看不清楚。,"전망대, 돌로 만들어진 토리이, 사당 같은 것이 있는 공원으로, 비석에 새겨진 공원의 이름은 마모되어 보이지 않는다.",
82,『ともきくん！』,‘智纪！’,『토모키 군!』,
83,彼女の声は、いつも上から聞こえてきた。,她的声音每次都是从上面传来的。,그녀의 목소리는 항상 위쪽에서 들려왔다.,
84,展望台に肘をついて、ぼくを見下ろし、ひらひらと手を振っている。,她将手肘搭在瞭望台上，俯视着我向我招手。,전망대에 팔꿈치를 대고 나를 내려다보며 가볍게 손을 흔들고 있다.,
85,『いつもはやいね！』,‘你每次都这么快啊！’,『오늘도 빠르네!』,
86,ぼくはお菓子とジュースと望遠鏡を持って、展望台の階段を駆けのぼった。,我拿着点心、饮料和望远镜快步登上瞭望台的台阶。,나는 과자와 주스와 망원경을 들고 전망대 계단을 뛰어오른다.,
87,ぼくは彼女と一言二言交わして、展望台から身を乗り出すように空と街を眺めた。,我们闲聊几句，从瞭望台探出身子眺望天空与街景。,"그녀와 한두 마디를 나눈 뒤, 전망대에서 몸을 빼어 하늘과 거리를 내다보았다.",
88,水平線に沈む夕陽や、グラデーションがかった空。,沉入地平线的夕阳，色调渐变的天空。,"수평선에 잠기는 태양, 그라데이션이 걸린 하늘.",
89,毎日表情を変える空の顔をぼくらは見ていた。,我们看着每天都在变化的天空。,우리는 매일 표정을 바꾸는 하늘의 얼굴을 바라보았다.,
90,そして一番星が見え始めると、ぼくらは二人で意味もなく笑い合っていた。,当夜空出现第一颗星辰，我们便不约而同露出笑容。,"그리고 첫 번째 별이 보이기 시작하면, 우리는 아무 의미 없이 마주보며 웃었다.",
91,そんな時間も、やがては消え去る。,这样的时光最终也不复存在。,그런 시간도 오래지 않아 사라진다.,
92,毎日のようにぼくと彼女は、展望台に行った。そのことはぼくの両親も、彼女の両親も当然知っていた。,我们每天都会去瞭望台。双方的父母自然知道这件事。,"나와 그녀는 매일같이 전망대로 갔다. 그것은 내 부모님도, 그녀의 부모님도 당연히 잘 아는 사실이었다.",
93,『ねえ、遠花火を見に行かない？』,‘我说，我们去看空焰火吧？’,"『있지, 별꽃 보러 가지 않을래?』",
94,学校で彼女によくそう誘われるようになった。,她开始经常在学校邀请我去看空焰火。,학교에서 그녀에게 자주 그런 권유를 받게 되었다.,
95,遠花火は少し前から一部の地域で見えていた新しくて未知な天文現象。,空焰火是前不久在一部分地区出现的新型天文现象，充满了未知的色彩。,별꽃이란 최근 일부 지역에서 발견된 새로운 수수께끼의 천문현상.,
96,それが最近、この辺りで見れるようにもなってきたところだった。,最近，附近这一带也能够看到空焰火了。,이 현상이 우리 지역에서 관측되기 시작한 참이었다.,
97,もちろんぼくは行くと答えた。,我自然答应了她的邀请。,물론 나는 가겠다고 답했다.,
98,非情に珍しい現象だから見えないかもしれないけど、それでもよかった。,这是很少见的天文现象，所以我们或许不能如愿，可我并不介意。,"굉장히 희귀한 현상이기에 볼 수 없을지도 모르지만, 그래도 상관없었다.",
99,彼女と空を見上げることが、空を見上げる彼女のことが、ぼくは好きだったから。,因为我喜欢的是和她一起仰望天空，以及仰望天空的她。,"나는 그녀와 하늘을 보는 것을, 그리고 하늘을 올려다보는 그녀를 좋아했으니까.",
100,それから毎日、遠花火を見にいった。,后来，我们每天都会去看空焰火。,이후 우리는 매일같이 별꽃을 보러 갔다.,
101,今までも毎日展望台には行っていたけど、だんだんと目的もなくなっていたのだ。,虽然以前也每天都去瞭望台，但是后来渐渐变得失去了目的性。,그 전에도 전망대에는 매일 갔지만 목적은 희미해진 상태였다.,
102,だから遠花火が見られるようになった時は嬉しかった。,所以这里能看到空焰火的时候，我很开心。,그래서 별꽃을 보았을 때는 아주 기뻤다.,
103,そしてぼくらはいくつかの遠花火をみた。,于是我们几次亲眼目睹了空焰火。,그리고 우리는 몇 차례 별꽃을 보았다.,
104,その度に彼女は――,每一次，她都会——,그때마다 그녀는――,
105,『また、一緒に見られるといいね』,‘希望下次还能和你一起看到空焰火。’,『같이 또 봤으면 좋겠다.』,
106,そう言って笑うのだった。,她都会如此笑着说道。,그렇게 말하며 웃었다.,
107,ぼくはそれがたまらなく嬉しくて、「うん！」と頷いていた。,我喜不自胜，对她用力点头。,나는 그 말이 무척이나 기뻐서 「응!」하고 대답했다.,
108,そして、とある日。,到了某一天——,그리고 어느 날.,
109,『明日の夜、遠花火を見に行かない？』,‘明天晚上要不要一起去看空焰火？’,"『내일 밤, 별꽃 보러 가지 않을래?』",
110,ちょっと緊張した表情でぼくは誘われた。,她略显紧张地邀请我去看空焰火。,그녀가 긴장된 표정으로 물었다.,
111,後から思えば、この日は家族も一緒だったから彼女は緊張していたのだと思う。,之后想来或许是因为那天要和她的家人一起去，所以她才会紧张。,후에 생각해 보면 이날은 가족도 함께였기에 그녀가 긴장했던 것 같다.,
112,ぼくはもちろん、いいよと言った。,我当然一口答应。,나는 당연히 좋다고 답했다.,
113,その日は、流星群の日でもあったから。,因为那天也是会出现流星雨的日子。,그날은 유성우가 내리는 날이기도 했으니까.,
114,『約束ね』,‘约好了哦。’,『약속이야.』,
115,彼女はそうはにかんで、足早にぼくから去っていった。,她羞涩地快步从我身边跑开。,그녀는 수줍게 말하고는 빠른 걸음으로 떠나갔다.,
116,流れ星と遠花火が一緒に見れたらいいね。,希望能和她一起看到流星和空焰火。,"별똥별이랑 별꽃, 같이 볼 수 있었으면 좋겠다.",
117,そんな言葉をぼくは遠ざかっていく彼女の背中にかけたと思う。,看着远去的她，我在心中如此想道。,나는 멀어져 가는 그녀에게 그렇게 말했던 것 같다.,
118,そして約束の日はきた。,约定的日子到了。,그리고 약속의 날이 왔다.,
119,家の前でクラクションが鳴る。,家门前响起了汽车喇叭声。,집 앞에서 경적 소리가 들려온다.,
120,彼女の両親が車をだしてくれて、展望台へ連れて行ってくれるらしい。,她的父母准备开车带我们去瞭望台。,그녀의 부모님이 차를 운전해 전망대까지 데려다 준다고 한다.,
121,ぼくの親と妹は用事があって、後から遅れて行くと言っていた。,我的父母和妹妹临时有事便让我先去，他们稍后就到。,우리 부모님과 여동생은 용무가 있어 나중에 온다고 했다.,
122,いつもより多めに、リュックにお菓子とジュースをつめこんで、望遠鏡をかかえて車にのりこむ。,我往包里塞了比平时更多的点心和饮料，然后抱着望远镜坐进车里。,가방에 과자와 주스를 평소보다 넉넉히 챙기고 망원경을 들고 차에 탄다.,
123,車内は不思議な匂いがした。彼女の家の匂いだと思った。,车里有股奇妙的气味。我想，这应该是属于她家的气味吧。,차내에서 신기한 냄새가 났다. 그녀의 집 냄새라고 생각했다.,
124,この時ぼくは少しだけ、緊張していた。,那时的我有些紧张。,"그때 나는 어째선지, 조금 긴장된 상태였다.",
125,『楽しみだね』,‘真期待呢。’,『기대된다.』,
126,隣で彼女が微笑む。,身旁的她露出微笑。,옆자리에서 그녀가 미소 짓는다.,
127,安心した。変わらない彼女が、いつものようにぼくの隣にいた。,我顿时放心下来。一如既往的她，一如既往陪在我的身边。,안심했다. 그녀가 변함없이 언제나처럼 내 옆에 있다.,
128,ガタガタと車が揺れて山道へ入る。,汽车摇摇晃晃驶上山路。,차가 덜컹덜컹 흔들리며 산길로 들어선다.,
129,細い道だから車のスピードもぐっと遅くなる。,道路狭窄，所以车速也骤然下降。,좁은 길이기에 차가 속력을 떨어뜨린다.,
130,ぼくらのいつもの近道を通り過ぎた時は、ぼくと彼女は二人で声を出さず笑い合った。,路过我们平时走的那条近路时，我和她正相视一笑。,"우리가 늘 가던 지름길을 지날 때, 나와 그녀는 함께 소리 없이 웃었다.",
131,けれど――その時はくる。,然而——那一刻还是到来了。,하지만―― 그때가 왔다.,
132,永遠にも思えていた時間や、変わらないでいてくれと願っていたものの全てが、一瞬にして消し去るそれが。,我以为永远不变的时光，我祈愿永不改变的事物，一瞬间便灰飞烟灭。,"영원할 거라 생각했던 시간이, 변하지 않길 바랐던 모든 것이, 한순간에 무너진 그때가.",
133,ぼくは目をつむる。,我闭上了眼睛。,나는 눈을 꽉 감았다.,
134,視界は真っ暗になったはずなのに、それでもまだ、目玉を潰さんとするような勢いでぼくは目を閉じてしまう。,眼前分明一片黑暗，但我还是用力闭上双眼，仿佛要将自己的眼珠挤碎。,"이미 시야는 깜깜해졌지만, 나는 눈알이 찌그러질 기세로 눈을 세게 감았다.",
135,心臓の鼓動がはやくなる。,心脏狂跳不止。,심장 고동이 빨라진다.,
136,肺がきゅうきゅうと縛り付けられるような感覚に陥る。,肺部有种强烈的束缚感。,폐가 꽉 졸리는 듯한 감각에 빠진다.,
137,そこに痛みは――なかった。,而我没有感受到疼痛。,그러나 고통은―― 없었다.,
138,ただ、温かくてどろどろしたものが全身に張り付く感触が世界をうめつくした。,只觉得温暖粘稠的物体紧贴全身，充斥着整个世界。,다만 따뜻하고 끈적한 무언가가 온몸에 달라붙는 감각만이 내 세계를 지배했다.,
139,全身は燃えるように熱くて、けれど身体の中心だけは凍えるように寒い。,全身仿佛燃烧起来一般火热，唯独身体的中心有股刺骨的寒冷。,몸이 타는 것처럼 뜨겁다. 하지만 몸의 중심은 얼어붙을 것처럼 차갑다.,
140,自分が今、どんな体勢になっているのかも分からない。,我不知道自己现在到底是什么姿势。,자신이 지금 어떤 자세를 취하고 있는지도 알 수 없었다.,
141,ただ、今はもう、のんびり車のシートになんか座っていないということだけは分かる。,只知道肯定不是放松地坐在汽车里面。,더 이상 한가롭게 좌석에 앉아 있지 않다는 것만큼은 느껴졌다.,
142,とにかく身体を動かそうとしても、動かない。,我想活动身体，但却没能如愿。,"어떻게든 몸을 움직여 보려 해도, 움직이지 않는다.",
143,手も足も、指を首も、舌も鼻さえもが動かせない。,手、脚、手指、脖子、舌头、鼻子，全都动弹不得。,"손발, 손가락과 목, 혀나 코조차도 움직이지 않는다.",
144,いいや、動かせば僅かに身体をつなぎとめている皮が裂け、肉が飛び出る。汗か血かも分からないどろどろしたものが隙間へ流れ込んでいく。,不，一旦乱动我便会皮开肉绽，不知是汗是血的粘稠物体就会从缝隙间涌入我的身体。,"아니, 움직일 수 없었다. 조금이라도 움직이면 간신히 몸을 유지하고 있는 피부가 찢어져 살이 튀어나온다. 땀인지 피인지 모를 걸쭉한 것이 틈새로 흘러 들어간다.",
145,なんだよ、これ！,到底是怎么回事！,이게 대체 뭐야!,
146,恐怖より怒りを抱くほうが心地よかった。怒りは精神と身体を麻痺させる。その怒りに委ね、なんとかして動こうとする。,比起恐惧，委身于愤怒令人更觉舒适。愤怒会麻醉精神与肉体，于是我任凭愤怒驱使自己，试图活动身体。,공포보다 분노를 표출하는 것이 편하다. 분노는 정신과 신체를 마비시킨다. 그 분노에 몸을 맡겨 어떻게든 움직여 보려 한다.,
147,けれど、その動かそうとする意思をあざわらかうように、重い重いおもりがぼくの身体に積み重なっていく。,但重若千钧的重物却不断堆积在我的身体之上，仿佛在嘲弄我试图活动身体的想法。,하지만 그런 노력을 비웃듯이 매우 무거운 추가 내 몸 위로 쌓인다.,
148,『はぁ……はぁ……っ』,‘呼……呼……’,『하아…… 하아…….』,
149,一体、何が起きているの？,到底发生了什么？,대체 무슨 일이 벌어진 거야?,
150,荒い呼吸をぼくはしていた。,我的呼吸十分急促。,거친 호흡을 가다듬는다.,
151,ただ彼女と、彼女の両親と展望台に、遠花火を見に行こうとしていただけなのに。,我只是和她以及她的父母一起去瞭望台看空焰火而已。,"난 그냥 그녀와, 그녀의 부모님과 별꽃을 보러 전망대에 가려던 것뿐인데.",
152,どうして……どうして……。,为什么……为什么……,어째서…… 어째서…….,
153,涙が流れた。頬を伝って流れた涙は口に染みた。鉄の味がした。,眼泪顺着脸颊流入口中，散发着铁锈的味道。,눈물이 흘렀다. 뺨을 타고 흐르는 눈물이 입술을 적신다. 쇳내가 났다.,
154,少しだけ開くようになった目でぼくはみる。,眼睛终于睁开了一条缝。,나는 간신히 뜨인 눈동자로 보았다.,
155,見たことも無い場所にいた。,而眼前的场景让我感到陌生。,처음 보는 풍경이었다.,
156,車には乗っていなかった。,我不在车里。,차 안에 있지는 않았다.,
157,車は、崩れた土砂の中から少しだけ顔をだして、その車体のほとんどを土砂に沈めていた。,汽车几乎都被崩落的沙土掩埋，只露出了一小部分。,차체가 무너진 토사 속에 묻혀 있다.,
158,ライトは切れ、辺りは暗い。,灯光已经熄灭，四周一片黑暗。,전등은 꺼졌고 주변이 어둡다.,
159,ただ夜空に浮かぶ月がやけに眩しかったのを覚えている。,我还记得那时夜空中的明月显得格外耀眼。,밤하늘에 뜬 달이 유난히 눈부셨다.,
160,「はぁ……はっ」,“呼……呼……”,「하아…… 하.」,
161,身体が少し動くようになって、まず手を動かした。,身体稍微恢复了一些活动能力，我先动了动自己的双手。,몸이 조금씩 움직이기 시작한다. 먼저 손을 움직여 보았다.,
162,どろどろとした液体の底に、柔らかい何かがあった。,粘稠的液体底部有种柔软的触感。,질퍽거리는 액체의 바닥에 부드러운 무언가가 있었다.,
163,「――ひっ」,“啊……”,「――헉.」,
164,ぼくは手をどける。,我移开了手。,나는 손을 치웠다.,
165,そして視線を下へ向ける。,然后向下看去。,그리고 시선을 아래로 향한다.,
166,――彼女と、目が合った。,——与她四目相接。,"――그녀와, 눈이 마주친다.",
167,『……』,“……”,『…….』,
168,彼女が、微笑む。,她，在微笑。,그녀가 미소 지었다.,
169,「―――っ」,“——”,「―――」,
170,思わず音のない声をあげる。真っ白い悲鳴。,我忍不住发出不成声的惨叫。,"나도 모르게 비명을 질렀다. 소리 없는, 새하얀 비명을.",
171,なんで、なんで、なんで、なんでなんでなんでなんで！,为什么、为什么、为什么、为什么为什么为什么为什么！,"왜, 왜, 왜, 어째서, 어째서!",
172,君はそんな姿になっているの？,为什么你会变成这样？,네가 왜 그런 꼴로 있는 거야?,
173,どうして！！！,为什么！！！,대체 왜!!,
174,さっきまでぼくの隣で、楽しみだねって笑っていたのに、,直到刚才，她还在我的身旁欢笑。,조금 전까지 내 옆에서 기대된다며 웃고 있었는데.,
175,いままでも、いつも楽しそうに笑って、あの展望台の上でぼくを待っててくれたはずなのに。,我以为她会永远带着笑容，永远在瞭望台上等待着我。,"지금까지도, 항상 즐겁게 웃으면서 저 전망대 위에서 날 기다리고 있었는데.",
176,「なん……で……」,“为……什么……”,「대체…… 왜…….」,
177,急激に身体が冷えていくのがわかった。,我感觉到身体在急速降温。,급격히 몸이 식어 간다.,
178,全身が痛いことがわかった。,全身剧痛不止。,온몸에 통증이 퍼지기 시작한다.,
179,身体が、壊れていくのを痛感した。,深切感受到自己的身体行将崩溃。,신체가 무너져 간다.,
180,『……』,“……”,『…….』,
181,彼女がもう一度微笑む。,她又一次露出微笑。,그녀가 다시 미소 짓는다.,
