jp,cn,kr,en
「ま、お前が遅刻してくるなんて何かあったと思ったんだ」,“不过嘛，你会迟到我也想到是发生了什么了。”,「네가 지각하길래 무슨 일 있나 했지.」,
航生が呟く。,航生小声说到。,코세이가 중얼거린다.,
「他の人に言わないでよ。なんかめんどくさそうになるから」,“别跟别人说啊。传出去感觉会很麻烦。”,「다른 사람한테 말하지 마. 귀찮아질 거 같으니까.」,
「分かってるって」,“我懂。”,「알아.」,
「そのための、からあげだから」,“刚才那炸鸡块就当是封口费了。”,「닭튀김 먹은 값은 해 줘.」,
「安いなあ」,“这封口费也太廉价了。”,「너무 싼데.」,
そう言って航生が笑う。,航生笑着说到。,코세이가 웃는다.,
ぼくはその天体観測のせいか今日はしっかりと遅刻してしまった。,由于天文观测，我今天彻彻底底地迟到了。,나는 천체 관측 탓인지 오늘은 완전히 지각하고 말았다.,
あれから家に帰ったのは何時だったかは覚えていない。,已经想不起来是几点才回的家了。,그 후 집에 돌아온 것이 몇 시였는지 기억하지 못한다.,
でもふわりとした高揚感と極限までの眠気で布団に倒れ込んだのは覚えている。,不过我还记得那精神涣散的兴奋感以及拖着到了极限的困意的身体钻进了被窝这件事。,붕 뜬 고양감과 쏟아지는 잠기운에 이불로 뛰어든 것밖에 기억나지 않는다.,
「遅刻はするものじゃないね」,“迟到还是不应该啊。”,「지각은 할 게 못 되네.」,
「サボれていいじゃん。俺は遅刻するやつ結構羨ましいぞ、俺の家なんか姉ちゃんが朝早いからついでに起こされるんだ」,“翘掉就好了啊。我挺羡慕那些能迟到的人的，我家老姐起得很早，每天早上都会顺便把我叫起来。”,「땡땡이 좀 칠 수 있으면 좋은 거지. 난 지각하는 녀석들 보면 좀 부럽더라. 우리 집 누나가 일찍 일어나니까 그 김에 나까지 일어나거든.」,
「たしかに今、もう給食の時間かあってなってるけど、遅刻してきて開ける教室の扉なんか最悪だよ」,“确实现在已经到午饭的时间了，但是迟到的时候打开教室门的感觉太糟糕了。”,「급식시간 다 된 상황에 지각해서 여는 교실문은 최악이야.」,
「みんなが一斉に振り向く視線がこわすぎる」,“所有人的视线都集中过来太恐怖了。”,「애들이 갑자기 확 돌아보는 게 얼마나 무서운데.」,
「休み時間中にこいよ、バカか？」,“休息时间进来不就好了，你傻吗？”,「쉬는 시간에 오지 그랬어. 바보냐?」,
「あ……そっか」,“啊……说的也是。”,「아…… 그러네.」,
あっけらかんと航生に言われ、たしかにと思わずポンと手を叩く。,经航生这么不经意地一提，我恍然大悟，不禁拍了下手心。,생각지도 못한 묘안에 나는 손바닥을 탁 두드렸다.,
遅刻はしたことがなかったから、そういう勝手が分からない。分かりたいとも思わないけど。,正因为没迟到过，所以不清除这种情况。虽然我也没想弄清楚就是了。,지각한 적이 없으니 그런 수법은 잘 몰랐다. 알고 싶지도 않았지만.,
「にしてもあの先輩と天体観測か、羨ましいな。小学校の時、たまに行ってたよな、あの山の上の展望台」,“话说回来你跟那个学姐去了天文观测啊，羡慕啊。小学的时候偶尔会去那里的吧？就那山上的瞭望台。”,"「그건 그렇고 그 선배님이랑 천체 관측이라니. 부럽다, 야. 초등학생 때 가끔 갔었지. 그 산 위에 전망대.」",
羨ましいのは天体観測だけな、と航生が付け足す。,羡慕的只有天文观测——航生补充道。,"부러운 건 천체 관측만이야, 하고 코세이가 덧붙인다.",
「そうだね、というかあんまり大きな声で話さないでよ。殺される」,“是啊，话说你别这么大声，会被杀的。”,「그랬지. 하여튼 큰소리로 말하지 마. 살해당해.」,
「それはないと思う……ぜ？」,“我觉得应该不会……吧？”,「그렇진 않을……걸?」,
「自信ないじゃないか」,“这不是完全没自信吗？”,「너도 말에 자신이 없잖아.」,
「ま、俺はあの人苦手だからどうでもいいんだけど」,“算了，我本来就不擅长应对那个人，怎么都好了。”,"「뭐, 난 그 사람 별로 안 좋아하니까 상관없어.」",
あの人とはもちろん東雲詩乃先輩のことだ。,那个人当然指的是东云诗乃学姐。,그 사람이란 당연히 시노노메 우타노 선배님이다.,
航生は、なんか怖いと常々言っている。,航生经常说学姐有些可怕。,코세이는 왠지 모르게 무섭다고 당당히 말한다.,
航生の目は時々鋭い時があるからから少し警戒するけど、航生は基本女子が苦手なやつなので先輩が怖いという事にはぼくは納得していない。,航生有时目光很敏锐我也就稍稍警惕了下，不过他基本上是个不擅长应对女生的家伙，所以他说学姐可怕我是无法认同的。,"코세이의 눈은 때때로 날카롭기 때문에 조금 경계하긴 하지만, 코세이는 기본적으로 여자와 친한 녀석이 아니기에 선배님이 무섭다는 말에는 동의할 수 없다.",
見た目も言動もチャラい方なのに、結構女子が苦手というのがぼくの友人なのだ。,明明我这个朋友外表和行为上来看都很轻浮，但他却非常不擅长和女生打交道。,외모도 언행도 가벼운 편인데 여자한테 서투른 게 참 내 친구답다.,
ちなみにぼくの遅刻はただの寝坊ということになっていて、昨夜学校の屋上で天体観測してましたとは航生以外には言っていない。,另外我迟到的原因表面上只是睡过头了，昨夜去学校屋顶进行天文观测的事情除了航生之外没跟别人提过。,"덧붙여 내 지각은 단순한 늦잠일 뿐, 어젯밤 학교 옥상에서 천체 관측을 했다는 건 코세이 외에는 이야기하지 않았다.",
航生にはいっか、ということでつい話してしまった。,航生的话，感觉无所谓就跟他说了。,코세이라면 괜찮겠지 싶어서 그만 이야기하고 말았다.,
「あの先輩と二人でか？」,“和那个学姐两人一起？”,「그 선배님이랑 둘이서?」,
「ま、まあね」,“嗯，是啊。”,"「어, 그렇지, 뭐.」",
「まあね、じゃねえ、こんにゃろ」,“是你个头啊，你这家伙。”,"「태평한 소리 하네, 이 자식.」",
航生が軽く肩をつつく。,航生轻轻地捅了下我的肩。,코세이가 가볍게 어깨를 찌른다.,
ぼくはユエナのことは隠した。,我没提由依奈的事。,나는 유에나에 관해서는 숨겼다.,
あれからユエナがどうしたのかはもちろん知らない。もちろん学校内では一度もみかけていない。,在那之后由依奈怎么样了当然我是不知道的。而且在学校里也一次都没看见过她。,이후 유에나가 어찌 됐는지는 당연히 모른다. 물론 학교 내에서도 마주치지 못했다.,
ユエナも屋上への鍵を持っていると思うから、あれから帰ったとは思うけど。,如果由依奈也有屋顶钥匙的话，在那之后她应该也回去了吧。,유에나도 옥상 열쇠를 갖고 있다면 그 뒤에 돌아갔겠지.,
「あ」,“啊。”,「아.」,
気づかないうちにからあげがもう一つ奪われていた。,没注意的时候，炸鸡块又被顺走一个。,어느새 닭튀김이 하나 더 사라졌다.,
あっという間にからあげは航生の口の中に消え、それを頬張りながらなぜかプリンをこちらへよこす。,炸鸡块转瞬间就消失在了航生的口中，他大口嚼着的同时不知为何把布丁放到了我这边。,닭튀김은 순식간에 코세이의 입 속으로 사라졌다. 그런데 녀석이 웬일인지 푸딩을 이쪽으로 넘긴다.,
「え、くれるの？」,“哎，这个是给我吗？”,"「뭐야, 주는 거야?」",
「ついでにこれも」,“还有这个也给你。”,「추가로 이것도.」,
そういってミニトマトをぼくの皿にいれてくる。,说着他就把小西红柿放到了我的盘子里。,그러면서 방울토마토를 내 접시에 올려놓는다.,
「……それは自分で食べなよ」,“……这个你自己解决啊。”,「……그건 네가 처리해.」,
「遅刻した罰だ」,“迟到的惩罚。”,「지각한 벌이다.」,
「航生、ほんとトマト嫌いだよね」,“你还真是讨厌西红柿啊。”,「코세이. 진짜 토마토 싫어하는구나.」,
「これだけはほんと無理」,“只有这个我是真不行。”,「이것만은 안 되겠더라니까.」,
ぼくは仕方なくミニトマトを頬張る。,没办法，我只好吃起小西红柿来。,나는 하는 수 없이 방울토마토를 입에 던져 넣었다.,
航生からもらったプリンもありがたくいただく。,从航生那里拿到的布丁我也心怀感激地享用了。,코세이가 준 푸딩도 고맙게 받는다.,
「プリンはなに？　トマトの付属品？」,“那布丁又是怎么回事？西红柿的赠品吗？”,「푸딩은 왜? 토마토라도 들었나?」,
「おれカラメルが無理なんだよね」,“我吃不了焦糖制品。”,「그건 캐러멜이 좀 그래.」,
とのことで二つ食べた。,于是我吃了两个。,그렇다고 하니 둘 다 먹는다.,
「じゃあ遠慮なくいただきます」,“那我就不客气了。”,「그럼 내가 먹어야지.」,
食べ終えて航生と談笑していると、チャイムが鳴る。,吃完饭和航生聊着天，铃声响了。,식사를 마치고 코세이와 담소를 나누다 보니 종이 울린다.,
チャイムとともに、廊下で喋っていた者、教室で遊んでいた者、まだ給食を食べている者が慌ただしく片付け始める。,在走廊里说话的、在教室里玩的、还有在吃饭的人，听到铃声后都开始慌慌张张地收拾了起来。,"종소리와 함께 복도에서 떠들던 사람, 교실에서 놀던 사람, 아직 급식을 먹던 사람이 서둘러 정리하기 시작한다.",
この喧噪が、昨夜見た夜の校舎とのギャップを強烈に醸し出す。,这喧嚣的景象和昨天夜里的校舍形成了极大的反差。,이 소란스러움이 어젯밤 본 밤의 교사와 다른 강렬한 위화감을 만들어낸다.,
「やべぇ、次俺ら体育だったわ！」,“糟了，下节课是体育来着！”,「큰일 났네. 우리 다음 체육이었어!」,
「ねえ誰かこれだけ食べてくれない！？」,“谁能帮我把这些吃掉？！”,「누가 이것만 먹어주면 안 돼!?」,
「トイレいきたくなってきたわ、間に合うかな」,“想上厕所了，还来得及吗？”,「화장실 가고 싶어졌네. 시간 될까.」,
「走れ走れ！」,“跑起来跑起来！”,"「뛰어, 뛰어!」",
こんなやかましい誰かの声があるのも、いつもの日常で、ゆったりとした現実で安心するとぼくは思った。,这吵吵闹闹的景象也是一直的日常，舒适的现实让我倍感安心。,평소와 같은 일상이자 느긋한 현실이다. 나는 시끄러운 소음에 안심하며 그렇게 생각했다.,
チャイムが鳴る。,铃声响了。,종소리가 울린다.,
初めて遅刻した今日は、午前中と給食の時間に少しだけイジられ、あとは普段の学校生活そのままだった。,今天首次迟到，不过也就是上午和午休时间稍微有些变化，剩下的就和平时的校园生活一模一样了。,처음으로 지각한 오늘은 오전과 급식 시간에만 조금 시달렸고 나머지는 평소 학교 생활과 다르지 않았다.,
天体観測のことを話したのは航生だけだったけど、航生はこれといって夜の屋上でどんなことをしてたかとかは詳しく聞いてこなかった。,虽然只跟航生说了天文观测的事，不过他并没有问我在夜晚的屋顶上具体做了什么。,"나는 코세이에게만 천체 관측에 대해 이야기했는데, 코세이는 밤의 옥상에서 무얼 했느냐고 자세히 캐묻지는 않았다.",
話したのが航生だけで正解だ。,只跟航生说这件事是正确的。,코세이한테만 얘기하길 잘했다.,
先輩は人気者だから、もし他の人に話していたらまためんどうくさいことになっていたと思う。,学姐人气很高，要是跟别人提起这事，肯定会变得很麻烦。,선배님은 인기가 많으니까 만약 다른 사람한테 이야기가 번졌다면 귀찮은 일이 생겼을 것이다.,
「じゃ、部活いってくるわ」,“那我这就去社团活动了。”,「그럼 동아리 하러 간다.」,
「頑張って。それじゃ、また来週」,“加油。下周再见。”,「열심히 해. 다음 주에 봐.」,
「じゃなあ」,“再见。”,「가라.」,
航生と教室で別れ、ぼくも部室へ急ぐ。,和航生在教室分开后，我也立刻前往社团活动室。,코세이와 교실에서 헤어지고 나도 부실로 향한다.,
走っているのが見つかるとあれなので、早歩きで部室へ向かう。,跑着去被看到了的话不太好，我快步向着活动室方向走去。,뛰어가는 모습을 보이면 거북하니 빠른 걸음으로 간다.,
階段なんかは二歩くらい飛ばして歩くけど、こんなことをしてもきっと、先輩はもう部室にいる。,就连台阶我都是一次迈过两阶的，不过就算这样，学姐大概也已经在活动室了吧。,"계단쯤은 두 걸음씩 건너가고 있지만, 이런 짓을 해도 선배님은 이미 부실에 있을 것이다.",
「ふぅ」,“呼。”,「휴.」,
ぼくは部室の前までやってきて息を整える。,我来到了活动室门前，调整了下呼吸。,나는 부실 앞에 다다라 숨을 내쉬었다.,
言の葉サークルとかかれた札を横目に見ながらトン、トンとノックをすると、,我瞥了眼茶言阅社的门牌，敲了敲门。,말소리 서클이라 쓰인 명패를 힐끗 쳐다보며 똑똑 노크하자,
「入りたまえ」,“进来吧。”,「들어오도록.」,
中から先輩の声がした。,里面传来了学姐的声音。,안에서 선배님의 목소리가 들려온다.,
やはり先輩は先にいるようだ。,果然学姐已经到了。,역시 선배님이 먼저 와 있었다.,
ぼくは扉を開く。,我打开了门。,나는 문을 열었다.,
いつものように、先輩は椅子へ腰掛け本を読んでいた。,和以往一样，学姐正靠在椅子上读着书。,언제나처럼 선배님은 의자에 앉아 책을 읽고 있다.,
「やあ、少年。遅刻したか？」,“哟，少年。你迟到了？”,"「왔나, 소년. 지각했나?」",
「え、なんで知ってるんですか！？」,“哎，为什么你会知道啊？！”,"「엇, 어떻게 아셨어요!?」",
部室に入るなり言われ戸惑う。,刚进活动室就听到这么一句，我一脸困惑。,부실에 들어오자마자 당황스러운 말을 들었다.,
ついぼくはその場で立ち尽くしてしまう。,然后整个人就这么杵在了那里。,무심결에 나는 그 자리에 멍하니 멈춰 버렸다.,
「だ、誰がばらしたんだ」,“是、是谁走漏风声的？”,"「누, 누가 알려준 거야.」",
先輩は、君の事ならなんでも知っているとでも言いたげな顔をしている――,正当我想着学姐会露出一脸“你的事我什么都知道”的表情——,선배님은 나에 관한 것이라면 뭐든지 다 안다는 표정을――,
と思ったら、案外先輩は驚いた顔をしていて、,学姐脸上一惊，,짓는가 싶었는데 의외로 선배님은 놀란 얼굴로,
「本当に遅刻したのか、君」,“你还真迟到了啊。”,"「정말로 지각했구나, 너.」",
ひどく呆れられた。,呆若木鸡。,엄청나게 어이없어 한다.,
「それはズルいですよ」,“学姐你太狡猾了！”,「본인이 말해 놓고 그러시면 치사하죠.」,
「ズルいことなどあるものか。わたしは冗談できいたつもりだっただけだ」,“哪里狡猾了？我只是开玩笑随便问问而已啊。”,「치사하기는 무엇이. 난 그저 농담으로 물은 것뿐인데.」,
「ま、どうやらそれが本当だったようで、実に君らしくて素敵だ。それにわたしは嬉しいぞ」,“好啦，看来这是真的，还真像你的作风，挺好的。而且我也很高兴。”,"「뭐, 아무래도 정말이었던 모양이군. 실로 너다워서 멋지구나. 그리고 난 기뻐.」",
「ぼくらしいですか？　それに嬉しいって……」,“我的作风是吗？还有，为什么高兴……？”,「저답다고요? 그리고 기쁘다니…….」,
先輩が腕を組んで微笑む。,学姐抱着胳膊笑了起来。,선배님이 팔짱을 끼고 웃는다.,
「無論だとも。君がそれほど楽しんでくれたことの証明だ。これほど嬉しいことはないよ」,“当然。这证明了你是多么地乐在其中。没有比这更高兴的事了。”,「물론이고말고. 네가 그만큼 즐겼다는 증명이니까. 이만큼 기쁜 일은 또 없지.」,
「そ、そうですか」,“是、是这样吗？”,"「그, 그런가요.」",
「楽しかったのはもちろん認めますけど」,“我承认我确实很享受。”,「재밌었던 건 물론 인정해요.」,
「まあ、いつまでもそこに立っていないで座りたまえ」,“总之，别在那一直站着了快坐下吧。”,"「그래, 멀거니 서 있지 말고 앉도록.」",
「ですね」,“也是。”,「그래야겠네요.」,
ぼくは部室の扉を閉め、鞄を机の上に置いて座る。,我关上了活动室的门，把书包放到桌子上坐了下来。,나는 부실 문을 닫고 책상 위에 가방을 둔 뒤 앉았다.,
机の脇には段ボールにしまわれた望遠鏡があって、ホワイトボードにはまだ侵入作戦の概要が書かれたままでいる。,桌子边上的纸箱里放着收起来的望远镜，白板上还写着入侵作战的概要。,"책상 옆에는 상자 속 망원경이 있고, 화이트보드에는 아직 침입 작전 개요가 적혀 있다.",
昨夜あれほど静かで眠っていたこの部室も、やはり今は窓から入り込む夏の陽光で皆起きているように見える。,昨夜沉睡在如此寂静之中的活动室，在射入屋内的夏日阳光照耀下，也苏醒了过来。,어젯밤엔 조용히 잠들어 있던 부실도 창문으로 스며드는 여름 햇살에 환히 깨어 있는 것처럼 보인다.,
光の当たる場所と影になる場所がはっきりと分かれてみえるのは、夜にはない姿に思えた。,光线照到之处与影子形成之处泾渭分明，同夜晚的姿态截然不同。,빛이 닿는 곳과 그림자로 덮인 곳이 뚜렷하게 구분된다. 밤에는 찾아볼 수 없는 모습이었다.,
「お茶でもいれよう」,“我去沏个茶好了。”,「차라도 탈까.」,
先輩が立ち上がり窓際に向かう。,学姐站了起来向窗边走去。,선배님이 일어나 창가로 움직인다.,
「それにしても暑くなってきたな、もう夏……か」,“话说天气还真是热了呢，已经夏天了啊……”,「그나저나 제법 더워졌구나. 벌써 여름……인가.」,
気温はここ最近でだんだんとあがり始めている。,最近气温越来越高了。,최근에 기온이 점점 오르기 시작했다.,
割れたアスファルトの間から生える名前の分からない草も、心なしか青々としてきた気がする。,从柏油路的裂缝中长出来的不知名的野草也愈发的青翠了起来。,아스팔트 틈새에서 자란 이름 모를 풀도 기분 탓인지 생생해 보인다.,
「夏休みが待ち遠しいです」,“暑假真是等得让人焦急啊。”,「여름방학이 기다려지네요.」,
「ああ、待ち遠しいよ。君と、もっと遊んでいたいからな」,“是啊，真是着急啊。我还想和你多玩玩呢。”,"「그래. 기다려지지. 너와, 더 놀고 싶으니까.」",
先輩の声が心なしか沈んでいるように思える。,学姐的声音听起来感觉有些无精打采。,웬일인지 선배님의 목소리가 가라앉은 듯 느껴졌다.,
「あー……受験、ですか？」,“啊……是要准备高考了吗？”,"「아ー…… 수험이, 있나요?」",
ぼくは先輩が三年生で、今年はもう受験の年だということに気づいた。,我注意到学姐已经是高三了，今年要高考了。,선배님은 3학년이다. 나는 올해가 벌써 수험의 해라는 것을 깨달았다.,
いや、思い出す。,不对，是想起来了。,"아니, 떠올렸다.",
それを考えると、先輩は今年で卒業という現実が緩やかに、けれど確実に迫っていることを実感する。,一想到这里，我终于感受到，学姐在今年就要毕业这件事已经缓缓地切实地逼近了。,"그것을 생각하면 올해 선배님이 졸업한다는 현실이 천천히, 하지만 확실하게 다가오고 있음을 실감한다.",
「そう……だな、ああ受験だ」,“是……啊，嗯，高考。”,"「그래……. 그렇지, 맞아, 수험이다.」",
先輩が湯呑を二つ持ってきて座る。片方の湯呑をぼくの前にそっと置いた。,学姐拿来两个茶杯坐了下来。其中一个茶杯轻轻地放到了我这边。,선배님이 찻잔 두 개를 들고 와 앉는다. 한쪽 찻잔을 내 앞에 살며시 내려놓는다.,
その手は少しだけ震えているようにも見える。,我看到学姐的手在微微发抖。,그 손이 조금 떨리는 것처럼 보였다.,
「ありがとうございます」,“谢谢。”,「감사합니다.」,
お礼をいう。けれどその次の言葉はでなかった。,我道了谢。然后后面的话并没有说出来。,감사를 전한다. 하지만 그 다음 말은 나오지 않았다.,
もう受験勉強始めている人とかいるんですか？　先輩はどこ受けるんですか？　先輩ならどこ受けても受かりますよ。,已经有人开始备考了吗？学姐准备考哪里？学姐不管去哪里都能通过的。,수험 공부는 이미 시작하셨나요? 선배님은 어디서 시험 보시나요? 선배님이라면 어디든 붙을 거예요.,
そんないくつもの安い言葉が頭の中に浮かぶ度に消していく。,诸如此类轻浮的话语在脑海中浮现出来，然后我立刻将其抹去。,그렇게 몇 가지 가벼운 말이 머릿속에 떠올랐다가 사라진다.,
そんな事を言っても、聞いてみても、どれも意味のないような気がして、先輩にただプレッシャーを与えるような気がして。,就算去说，去问这种事，我感觉也都是无意义的，而且只会给学姐徒增压力。,"그런 말을 건네도, 내가 듣는다고 해도, 아무런 의미가 없는 것 같아서. 선배님께 괜한 부담을 주는 것 같아서.",
ぼくは――,于是我——,나는――,
「少年」,“少年。”,시노노메「소년.」,
「は、はい！？」,“是，我在？！”,"「아, 네!?」",
気が付けば先輩の顔が少し下にある。,转过神来，学姐的脸出现在低一点的位置。,어느새 선배님의 얼굴이 살짝 아래로 내려왔다.,
うつ伏せで、目線だけはぼくをみて優しい顔をしている。,她趴了下来，用一种温柔的样子注视着我。,엎드린 채 시선만 나를 향한 채 부드러운 표정을 짓고 있다.,
「時はとまらないよ。遠くにあったはずの、目をそむけたくなる現実は確実にやってくるものさ。だから君が何かを考える必要はない」,“时间可是不会停止的。那遥远的、不想面对的现实是一定会来的。所以你什么都不用去想。”,"「시간은 멈추지 않아. 저 멀리 있었던, 외면하고 싶은 현실도 반드시 찾아오는 법이야. 그러니까 네가 뭘 생각할 필요는 없어.」",
「そう、ですね」,“也，是呢。”,"「그렇, 군요.」",
無理やり納得した。,我强行接受了这套说辞。,억지로 납득한다.,
「ああ、夏がこれからはじまるのだよ。そういう話は、もう少し後だ」,“嗯，夏天马上就要开始了。那种事之后再说。”,"「그래. 이제부터 여름이 시작된다. 이런 얘기는, 나중에 하자.」",
「分かりました」,“我知道了。”,「알겠어요.」,
先輩がそういうなら、ぼくはそうしよう。,学姐既然这么说的话，我也就照做吧。,"선배님이 그렇다고 하면, 나도 그런 걸로 하자.",
きっと、ぼくが聞きたいあれこれは、いつか必ず話してくれると思う。,我想问的那些，以后学姐应该会跟我讲的。,"내가 묻고 싶은 것들은, 분명히, 언젠가 꼭 이야기해 줄 거라고 생각한다.",
先輩はそういう話をしないとは言わず後でと言った。,学姐没说不讲这些事，而是说的之后会讲。,선배님은 이야기하지 않겠다고 말하지 않았다. 나중에 하자고 했다.,
この人は、ちゃんといつかここを去っていくんだ。,这个人确实在某一天就会离开这里啊。,이 사람은 언젠가 반드시 이곳을 떠날 것이다.,
「そろそろ、新しい湯呑がほしいな」,“有点想要个新的茶杯了。”,「슬슬 새로운 찻잔이 필요하겠어.」,
先輩は身体を起こしてお茶を飲む。,学姐起身喝起了茶。,선배님은 몸을 일으켜 차를 마셨다.,
「それと、君は冷たいお茶でも飲みたいだろう？　わたしの好みに付き合わせて悪いとは少なからず思っているぞ」,“还有，你也想喝点凉茶吧？让你迎合我的喜好，我还是有点过意不去的。”,「그리고 너는 차가운 차도 마시고 싶겠지? 내 취향에 어울려 주는 걸 보며 미안하다는 마음이 적잖이 있어.」,
先輩は少し申し訳なさそうな顔をする。,学姐露出了些许抱歉的脸色。,선배님이 살짝 미안한 표정을 짓는다.,
「それがそうでもないですよ」,“也不是这样。”,「그렇지만도 않아요.」,
「去年は、この暑い中で熱いお茶は正気かなとは思いましたけど、今ではそんなことないです。ぼくも癖になりましたし」,“虽然去年我觉得在这大热天喝热茶是不是有什么毛病，不过现在我已经不这么想了。我也上瘾了。”,"「작년에는 이 더운 날씨에 뜨거운 차라니 제정신인가 싶었는데, 지금은 그렇지도 않아요. 저도 습관처럼 돼서.」",
「そうか、それは嬉しいな」,“是吗，那还真是令人高兴。”,「그렇군. 그건 기쁜 일이야.」,
先輩がにこりと笑う。,学姐微笑了起来。,선배님이 빙긋 웃는다.,
「冷たいお茶が飲みたいのも事実ですけどね。熱い冷たい以前に喉が乾いている時にがぶがぶ飲めないのが辛いですから」,“不过想喝点凉茶也是真的。先不管热的还是凉的，口渴的时候不能大口大口喝也太痛苦了。”,「차가운 차가 마시고 싶은 것도 맞긴 하죠. 목 마를 때 벌컥벌컥 마시지 못하는 게 아쉬우니까요.」,
「君は本当にはっきり言うようになったな……」,“你还真是变得直白了啊……”,「너는 정말 똑똑히 말할 줄 알게 됐구나…….」,
「先輩にはなんか言えるんですよ」,“对学姐你就能直白地说出来了。”,「왠지 모르게 선배님한테는 말이 나오더라고요.」,
「ふふ、なるほど」,“哈哈，原来如此。”,"「후후, 그렇군.」",
先輩は両手をあげて、,学姐举起双手，,선배님이 두 팔을 올리고,
「ん〜っ」,“嗯〜”,「으응~」,
と伸びをする。普段クールで凛とした声の先輩がこういう時はすごく女の子らしくてドキリとする。,然后伸了个懒腰。平时冷酷凛然的学姐在这种时候非常有女人味，让人怦然心动。,기지개를 켠다. 평소 쿨하고 이지적인 목소리의 선배님이지만 이럴 때는 굉장히 여성스러워 두근거린다.,
先輩はかっこいいから、ぼくはどちらかというと男友達といるような感覚になる。先輩にこんなことを言ったら怒るだろうけど。,在我看来，学姐很帅气，气场和男性友人差不多。虽然这话要是跟她说了她肯定会生气。,선배님은 멋있기 때문에 굳이 말하자면 남자 친구와 있는 느낌이다. 이런 말을 하면 화내시겠지만.,
でも、今伸びをする先輩の制服が胸の曲線に沿って伸びるところや、つくりもののように白い肌や細い指。,不过，现在伸着懒腰的学姐，校服凸显着胸前的线条，还有着像人造物一般洁白的肌肤和纤细的手指。,"그래도, 기지개 켜는 선배님의 교복 가슴 곡선이나 도자기처럼 흰 피부와 가느다란 손가락.",
どうしようもなく、先輩は女の子であることをふと思わせる。,我怎么都会想到学姐确实是个女生。,"반론의 여지 없이, 선배님이 여자란 것을 깨닫게 한다.",
「ふぅ」,“呼。”,「후우.」,
先輩が息をはいて腕を降ろす。,学姐吐了一口气把胳膊放了下来。,선배님이 숨을 뱉으며 팔을 내린다.,
テーブルの上にできていた先輩の腕の影が形を変える。,桌上学姐胳膊的影子形状发生了变化。,테이블 위에 드리운 선배님의 팔 그림자가 모양을 바꾼다.,
ぼくは先輩と目が合うのは気まずいと思い窓に視線を向けた。,和学姐眼神相交的话我感觉会有些尴尬，于是我望向了窗户。,선배님과 눈이 마주치면 거북할 것 같아 나는 창문으로 시선을 돌렸다.,
そうしたらその窓の向こうに――,然后就在窗户外面——,그랬더니 그 창문 너머에서――,
――ユエナが見えた。,——我看到了由依奈。,――유에나가 보였다.,
「っ！？」,“？！”,「윽!?」,
ぼくは声をあげることすら置き去りにして、椅子を跳ね飛ばすようにして立ち上がり、窓に駆け寄った。,我甚至还没叫出声就像弹起来一样从椅子上起身跑到了窗边。,나는 소리조차 변변히 내지르지 못하고 튕겨 나가듯 의자에서 일어나 창가로 달려갔다.,
「ユエナ！」,“由依奈！”,「유에나!」,
ようやく声が出る。,终于叫了出来。,겨우 목소리가 나왔다.,
「どうした、少年！？」,“少年，怎么了？！”,"「왜 그러나, 소년!?」",
