jp,cn,kr,en
おもいっきり腕をあげて伸びをする。,我使劲伸了个懒腰。,팔을 번쩍 들어 기지개를 켠다.,
脱力して腕を下げるとスマホの画面は消えていた。,无力地放下胳膊之后，手机画面熄灭。,긴장된 힘을 탁 풂과 동시에 스마트폰의 화면이 꺼진다.,
「おにいちゃん、ごはん」,“哥哥，吃饭了。”,"「오빠, 밥 먹어.」",
部屋の外から妹の声がきこえる。,妹妹的声音从房间外传来。,밖에서 여동생의 목소리가 들려온다.,
夕飯ができたらしい。,看来晚饭做好了。,저녁밥이 다 된 모양이다.,
妹はぼくが返事をする前にとたとたと廊下を駆けていった。,妹妹没等我回答就跑开了。,여동생은 대답도 듣지 않고 쿵쿵 복도를 달려갔다.,
目覚めたばかりでまだ食事という気分ではない。そうでなくとも最近は家族と一緒に夕飯を食べるのが嫌になっていた。,刚睡醒没什么食欲。而且就算有食欲，最近也不喜欢和家人一起吃晚饭。,방금 막 깬 참이라 식욕이 없다. 그렇지 않아도 요즘에는 가족과 함께 저녁 먹기가 싫어졌다.,
「反抗期なんだろうなあ」,“这是反抗期还是什么吗。”,「반항기가 왔나 봐.」,
そう思っている。,我这么想着。,그런 것 같다.,
反抗期というものに自覚があるものなのか少しだけ怪しいけれど。,自己觉得自己在反抗期有点怪怪的。,보통 자기가 반항기라는 걸 자각하는지 모르겠지만.,
「よし」,“好。”,「영차.」,
なんのための気合いか、声をあげる。,这是为了什么而给自己鼓劲呢？,뭘 위한 기합인지 몰라도 소리를 뱉어 본다.,
スマホだけをズボンのポケットにいれて立ち上がり部屋をでた。,我把手机揣进裤兜里，站起来离开房间。,스마트폰만 바지 주머니에 넣고 일어나 방 밖으로 나선다.,
夏の隙間を抜けてきたような涼しい風が頬にあたる。,仿佛从夏日的缝隙中钻出来的凉风吹在脸上。,여름의 틈새를 비집고 나온 듯 선선한 바람이 볼을 매만진다.,
夕飯は食べずに、ラップでもかけておいてと言い放ってから外へでた。,我没有吃晚饭，让他们给我盖上保鲜膜然后就来到了外面。,저녁은 먹지 않았다. 랩이라도 씌워 놔 달라고 말한 뒤 밖으로 나왔다.,
まだまだ夜の虫の声は小さいけれど、これもあと一か月でもしたらうるさいくらいになると思う。,夜晚的虫鸣声还不大，不过再过一个月应该就会很吵了。,벌레 울음소리가 아직은 작지만 한 달만 지나도 시끄러워질 것이다.,
ここらは山の上に開かれた土地でぽつぽつと民家が点在しているだけ。,这里是在山上开发的土地，只有零星的民宅。,"이곳은 산 위에 다져진 땅으로, 민가가 드문드문 떨어져 있다.",
いわゆる田舎。,也就是所谓的乡下。,말 그대로 시골.,
およそ観光とよべるような施設はない。公共機関さえまともに整備されていない。,机会没有能够观光的设施。连公共设施都不齐全。,관광지라고 부를 만한 시설은 없다. 공공기관조차도 제대로 갖추지 못했다.,
都会の喧騒から逃れてきたといえばきこえは良いが、むしろ都会から追い出されたという表現に近いのがぼくが住んでいる場所だ。,我居住的这个地方用“远离都市的喧嚣”来形容倒是挺不错，不过应该更接近于“被赶出了都市”吧。,"도심 속의 답답함을 벗어난다고 하면 듣기에는 좋을지 몰라도, 내가 사는 곳은 도시에서 쫓겨났다는 표현이 더 잘 어울린다.",
「うーん、虫よけスプレーをしてきたほうがよかった」,“唔……应该喷点防虫喷雾的。”,「음ー 벌레 스프레이 뿌리고 올걸.」,
痒くなった腕をかきながらぼくは歩く。,我挠着发痒的胳膊走着。,나는 근질거리는 팔을 긁으며 걸었다.,
季節はこれから夏に入ろうとしている。,马上就要入夏了。,이제 곧 여름이 시작되려 한다.,
今年は梅雨が長引くこともなく、日中はだんだんと温かいから暑いに変わり始めているころだ。,今年的梅雨季没有持续多久，白天开始从暖和变成很热了。,"올해는 장마가 짧게 끝났고, 낮 기온이 점점 따뜻한 정도에서 더운 수준으로 넘어가려고 한다.",
「今日はついてないかもしれない」,“看来今天不怎么走运啊。”,「오늘은 뭔가 잘 안 풀리네.」,
先ほどとは別の場所をカリカリとかきながら歩く。,我又挠起另一个位置，继续走着。,방금 전과 다른 부분을 긁적거리며 걷는다.,
「そういえば久しぶりに見たな」,“说起来，挺久没做这个梦了。”,「그나저나 오랜만에 꿨다.」,
あの夢。,那个梦。,그 꿈.,
正確には毎度細部は違っているけど、同じような夢。,准确来说每一次细节都不一样，但是同一个梦。,"구체적인 부분은 항상 다르지만, 같은 꿈.",
ぼくが誰かと一緒に星空を見ている、そんな……夢。,一个我和谁一起看星空的梦。,"누군가와 함께 밤하늘을 바라보는, 그런…… 꿈.",
「はあ」,“哎……”,「하아.」,
ため息をはいて視線を下にさげる。,我叹了口气低下头。,한숨을 내쉬고 시선을 아래로 떨어뜨린다.,
足の裏にかいた汗がサンダルにペタペタとはりつく。,脚心被汗粘在了凉鞋上。,땀에 젖은 발바닥이 샌들에 찰싹 달라붙는다.,
気分を変えたくて、あの夢のことをあれこれと考えたくなくて――別の事を考えてみる。,试着不去想那个梦——想想别的事情。,"기분을 전환하고 싶어서, 그 꿈에 대해 자세히 생각하고 싶지 않아서―― 다른 데로 생각을 돌린다.",
「学校に忍び込んで夜のプールにとびこんでやろう」,“乘夜潜入学校，跳进泳池里吧。”,「학교에 몰래 가서 확 수영장에 들어가 버려야지.」,
中学生男子なら誰でも一度は考えそうなことだと思う。,初中男生应该都有这么想过吧？,남자 중학생이라면 누구라도 한 번쯤 생각해 봤을 것이다.,
ぼくにそれを本当にやる度胸もないけれど、それでももしできるのならと想像はしてみる。,我虽然没那个胆子，但还是会想象一下。,"나한테 정말로 그럴 배짱은 없지만, 그래도 혹시나 하는 마음에 상상은 해 본다.",
「うーん、でも割と遠いなあ、学校」,“唔……不过学校还挺远的。”,「음ー 근데 학교가 생각보다 머네.」,
学校までは徒歩でいけない距離ではないけど、夕飯の時間にわざわざ外にでているような、そんな僅かな時間で行ける距離ではない。,虽然不是徒步走不到的距离，但也不是晚饭出来这点时间就能走到的距离。,걸어서 가지 못할 거리는 아니다. 하지만 공연히 저녁 식사 시간에 나와 갈 만큼 짧은 거리도 아니다.,
もしプールに忍び込めた時の想像よりも、もっと現実的なところで諦めがついてそんな考えをやめる。,更加现实的想法让我放弃了跳进泳池里的想象。,몰래 수영장에 잠입하는 쾌감보다 현실적인 부분을 고려해 포기하고 만다.,
自分はいつもそうだ。将来は漠然と、一人で生きていける妄想をしている。今でさえもう一人で生きていると思っている。,我总是这样。漠然地妄想着独自活下去的将来。现在就觉得即使是一个人也能活下去了。,나는 항상 이런 식이다. 미래에는 막연히 혼자서 살아갈 수 있을 거라 망상한다. 지금도 이미 혼자 힘으로 사는 것이라 여긴다.,
自分には力があって、何かできると勝手に考えている。,总是随意地想象着自己有能力、能够做些什么。,"나에게는 특별한 능력이 있어서, 무엇이든 간에 할 수 있다고 멋대로 생각한다.",
「今日はいいや」,“今天就算了。”,「오늘은 됐다.」,
そもそも行く気はないし、それにぼくはそんなことのために外にでてきたのでない。,本来也没打算去，而且我也不是为了这个目的出来的。,애초에 갈 마음이 없었다. 그보다 나는 그런 것 때문에 밖으로 나선 것이 아니다.,
いつかのあの夏。,曾几何时的那个夏日。,언젠가 그 여름.,
彼女とのやりとりが――もし分かったらいいねという願望が、ぼくの中で約束というものに形に変え、それが残り続けているのなら。,想要知道与她的交流——这样的愿望，在心中化作了约定留存。,"그녀와 나눈 대화가―― 언젠가 알게 되었으면 좋겠다던 소망이, 내 마음속에 약속이란 형태로 바뀌어 계속해서 남아 있다면.",
「！？」,“？！”,「!?」,
遠くの空にあるものを見つけぼくは思考をとめる。夜のプールだとかそんなのはどうでもよいくらいぼくはそれに心を奪われる。,远空中的东西让我的思考停滞了。夜晚的泳池之类的东西已经根本毫无所谓，我的心已被它夺去。,"머나먼 하늘에 있는 것을 발견하고, 나는 온 생각이 멈추었다. 밤의 수영장이니 뭐니 하는 것은 까마득히 잊고 그것에 마음을 빼앗겼다.",
「遠花火だ……」,“是空焰火……”,「별꽃이다…….」,
思わずつぶやく。口からこぼれた言葉は漂って夜の空気に溶け込んでいく。,我不由得嘟哝着。口中说出的话语融化在夜空中。,나도 모르게 말이 새어 나왔다. 흘러나온 숨결이 밤 공기에 녹아든다.,
空のずっと遠くで見えた小さな遠花火は白い強い光を発して、やがて淡くオレンジに光る。,遥远的天空中，小小的空焰火闪着强烈的白光，之后转为淡橘色。,"아득히 먼 하늘에 생긴 자그마한 별꽃은 강한 빛을 발하다가, 이윽고 옅은 오렌지색으로 빛났다.",
最後はブルーに色を変えてから、小さな火花を散らして消えていった。,最后变成蓝色，绽放出小小的火花消散。,마지막에는 파란색으로 바뀌며 작은 불꽃을 흩뜨리고 사라진다.,
「……」,“……”,「…….」,
思わず立ち止まってそれを眺めていた。,我不禁停下脚步眺望。,무심코 자리에 멈춰 그 광경을 바라보았다.,
今日はついてない、なんて思っていたけどそんなことはないらしい。,本来以为今天不走运，看来没那回事。,"오늘은 잘 안 풀린다고 생각했지만, 그렇지 않았다.",
なにせこうやって外へでてきたのはこれを見るためだったのだから。,因为我来到外面，就是为了看这个。,이렇게 밖으로 나온 이유는 바로 이걸 보기 위함이었으니까.,
「やっぱ、きれいだなあ」,“果然，很美啊。”,「정말 예쁘다.」,
遠花火は未だ原因不明の天文現象。,空焰火是原因不明的天文现象。,별꽃은 원인이 밝혀지지 않은 천문현상이다.,
名前は似ているけれど、夏になると各地で打ちあがる花火とはまるで別物だ。,虽然有着类似的名字，但和夏天各个地方放的焰火完全不同。,불꽃놀이와 비슷하다고 하는 사람도 있지만 전혀 다르다.,
通常の花火は小さなもので100メートル。大きなもので600メートルくらい。,普通的焰火的高度小的一百米，大的也就六百米左右。,"일반적인 폭죽은 작은 것이 100m, 큰 것이 600m까지 올라간다.",
しかし遠花火はもっとずっと高度。飛行機が飛ぶ高さよりもさらに上だと聞いたことがある。,但空焰火远比普通焰火要更高。据说比飞机的飞行高度还要高。,"하지만 별꽃은 그보다 높이, 비행기보다 훨씬 더 높은 곳에서 나타난다고 들었다.",
「今日はついてる」,“今天真是走运。”,「오늘은 뭔가 잘 풀리네.」,
数分前の思考から鮮やかに手のひら返しをして、ここよりももう少しだけ空に近い場所、すぐそこの丘までぼくは走ろうとした。,几分钟前的想法已经彻底反转，我朝着比这里离天空更近的地方——不远处的山丘跑去。,"몇 분 전까지 했던 생각을 손쉽게 뒤집는다. 나는 이곳보다 조금 더 하늘과 가까운 장소, 저 앞에 있는 언덕까지 달려가려 했다.",
「え？」,“哎？”,「어?」,
思わず立ち止まる。,我突然停下。,순간 발걸음을 멈췄다.,
静かな夜の空気をまっすぐ突き抜けるようにぼくの耳に届いた水音は、走り出そうとした足を容易にとめる。,水声划过寂静的夜传到耳边，阻止了我的脚步。,조용한 밤 공기를 청아하게 관통하는 물소리가 나의 발걸음을 멈춰 세웠다.,
「なんだろう？」,“那是什么？”,「무슨 소리지?」,
ただの水音。きっと小さな小石が水のあるところに落ちたか虫が飛び込んできただけだろうけど、ぼくはそれが無性に気になって、舗装された道を外れる。,只是水声。肯定是小石头掉进水里或是有虫子飞过水面吧？但我还是非常在意，离开大路走进林子。,그냥 물소리다. 작은 돌멩이가 물 고인 곳에 떨어졌거나 벌레가 날아든 것이겠지. 하지만 나는 왠지 신경이 쓰여 포장된 길을 벗어났다.,
「この先は、たしか泉があったはず」,“我记得前面有泉水来着。”,「이 앞에 샘이 있었지.」,
そこまで深くもなく大きくもない地元の人くらいしか知らない泉がある。,是一处不怎么大也很浅的泉水，基本只有本地人知道。,"그리 깊지도 크지도 않은, 지역 사람들만 아는 샘이 있다.",
なんの変哲もないが、水は澄んで綺麗で、あとは比較的綺麗な円の形をしているくらい。,虽然没什么特别的，不过水很清澈，而且是个挺漂亮的圆形。,물이 맑고 깨끗할 뿐 아무런 특색도 없다. 굳이 말하자면 모양이 나름 예쁜 동그라미라는 것 정도.,
「ちょっと行ってみようかな」,“去看看吧。”,「잠깐만 가 볼까.」,
背丈ののびてきた雑草を踏んでぼくは泉を目指す。,我踩着高高的杂草朝着泉水走去。,나는 길게 자란 잡초를 지르밟으며 샘으로 향했다.,
この道は小学生の頃の通学路だったから、帰りはよく泉にいって石をなげて遊んでいた。,小学的时候上学经过这条路，所以回家时经常来泉水边丢石头玩。,"이 길은 초등학생 시절 통학로였기에, 귀갓길에 자주 샘으로 가 돌을 던지며 놀곤 했다.",
そんなことを思いながらぼくは泉へ向かった。,这么想着，我走向泉水。,그때를 추억하며 나는 샘으로 나아갔다.,
泉の脇に生える樹の幹に触れる。温かい。,触摸长在泉水边的树，树干温暖。,샘 옆에 자란 나무 줄기에 손을 댄다. 따뜻하다.,
その樹をぐるっと回って、久しぶりに泉へやってきた。,绕过这棵树，我来到久违的泉水旁。,"이 나무를 빙 돌아, 오랜만에 샘을 찾았다.",
「え？」,“哎？”,「응?」,
目に飛び込んできた光景に思わず声を漏らす。,眼前的光景让我不禁失声。,눈앞에 펼쳐진 광경에 무심코 목소리가 새었다.,
そこに――女の子がいた。,那里——有个女孩子。,그곳에―― 여자아이가 있다.,
「……」,“……”,「…….」,
声をあげることもここから立ち退くこともできず、できるのはただ彼女を眺めることだけ。,我没有说话也没有离开，只能就这么望着她。,목소리가 나오지 않는다. 이 자리를 떠날 수도 없다. 내가 할 수 있는 건 그저 그녀를 바라보는 것뿐.,
この感覚はまるでさっきの夢みたいだ。,这种感觉，就像刚才的梦一样。,이 느낌은 마치 좀 전에 꾸었던 꿈 같다.,
ぼくはそう思う。,我如此想着。,그런 생각이 들었다.,
けれど夢と違うところは、雲に隠れていた月が顔をだして、視界の端からゆっくりと明るくなっていくこと。,但和梦里不同的是，躲在云中的月亮露出脸来，眼前渐渐被照亮。,"하지만 사방이 어둡던 꿈과는 다르게, 구름에 가려진 달이 얼굴을 내밀며 주변을 점점 환하게 비추었다.",
何もないと思っていた泉の中央に、太ももあたりまで水につかったまま立っている女の子がいることを確信させる。,本应什么都没有的泉水中央，确实站着一个大腿以下都浸在水里的女孩。,"시야가 밝아질수록 확실해진다. 아무것도 없을 줄 알았던 샘 중앙에, 여자아이가 허벅지까지 잠긴 채로 서 있다.",
「……」,“……”,「…….」,
女の子はスカートの裾をつまんでまた離す。,女孩拎起裙摆又放下。,여자아이가 손가락으로 치맛자락을 잡았다가 놓는다.,
水分を吸って重くなったスカートはピタンと太ももへ張り付いた。,湿透的裙子啪嗒一下贴在大腿上。,물을 머금어 무거워진 치마가 허벅지에 찰싹 달라붙는다.,
女の子は立ったままただ水中を眺めているだけ。ぼくには気づいていないのだろうか。,她就这么站在水里，注视着水面。似乎没有察觉到我。,여자아이는 물속을 쳐다보고만 있다. 내 존재를 알아채지 못한 것일까.,
「……」,“……”,「…….」,
唾を飲む。,我吞了下口水。,침을 삼킨다.,
足の指を閉じて開く。,脚趾蜷起又张开。,발가락을 오므렸다가 편다.,
足は動くらしいから、何も見なかったことにして立ち去るなら今だった。,既然脚能动，要当做什么都没看见离开就得趁现在了。,"발은 움직이는 듯하니, 지금이라면 아무것도 못 본 척 지나갈 수 있다.",
「どうしよう」,“怎么办？”,「어떡하지.」,
これからどうするかを考えながらぼくはただ女の子を見つめていた。,我一边想着接下来该怎么办，一边盯着那个女孩。,나는 어떻게 할지 생각하며 여자아이를 가만히 바라보았다.,
女子風呂を覗くとは少し違う、これはもっと、きっと神聖なもの。,和偷看女浴室有些不同，一定是某种更神圣的东西。,"목욕하는 모습을 훔쳐보는 것이 아니다. 이것은 그보다 더욱, 신성한 것.",
「……」,“……”,「…….」,
女の子が小さくを息をはく。,女孩轻轻吐出一口气。,여자아이가 작게 숨을 내쉬었다.,
肩がゆれて髪が揺れる。水分を多分に含んだ髪の毛先から一つ水滴が落ちてピチャンと音を立てた。,搭在肩上的头发晃动。嘀嗒，水滴从被水浸湿的发梢滴落。,어깨가 흔들리고 머리카락이 일렁거린다. 수분을 잔뜩 머금은 머리카락 끝에서 물방울이 하나 떨어져 맑은 소리를 퍼뜨린다.,
「よしっ」,“好。”,「좋아.」,
ぼくはこれからどうするかを決める。,决定怎么做了。,나는 어떻게 행동할지 결정했다.,
歩み始めた方向は泉だった。,我朝泉水方向走去。,발걸음을 샘물 쪽으로 내딛는다.,
まるで引き寄せられるように小さな足取りで歩を進める。,仿佛被吸引这一般，我一小步一小步走过去。,마치 자석에 이끌리듯 좁은 보폭으로 걸음을 옮겼다.,
「――」,“——”,「――」,
女の子の口が動いたようにみえた。何を言ったかは分からない。,女孩的嘴唇好像懂了。但不知道她说了什么。,여자아이의 입술이 열린 것 같았다. 무슨 말을 했는지는 모르겠다.,
歩み始めていたぼくの足が小枝を踏んでパキッと音をたてる。,朝泉水走近的我踩到小树枝发出声响。,걸어가던 나의 발이 잔가지를 밟아 우지끈 소리를 낸다.,
「……？」,“……？”,「……?」,
女の子がゆっくりこちらを振り向くのがわかった。,女孩慢慢向我转过头来。,여자아이가 천천히 이쪽을 돌아본다.,
「――っ」,“——”,「――아.」,
月明かりのせいかきらっと光った瞳にびっくりする。,月光让她的眼瞳闪着光，吓了我一跳。,"달빛 때문일까, 영롱하게 빛나는 눈동자에 순간 놀라움을 금치 못했다.",
それと同時にぼくにはある感情がおそってきた。,同时，某种感情涌上。,그와 동시에 나는 어떤 감정에 휩싸였다.,
それは恐怖。,是恐惧。,바로 공포였다.,
よくよく考えてみたら、こんな時間に、こんな時間じゃなくても一人で泉の中央に立っている女の子なんて怖すぎる。,仔细想想，这个时间，就算不是这个时间，独自一人站在泉水中央的女孩也太吓人了。,가만 생각해 보니 이런 시간에 여자 혼자 샘 안에 들어가 있는 건 이상했다.,
それもどうやら全身びしょ濡れのようなのでよけい怖い。,而且好像还全身湿透，更吓人了。,흠뻑 젖은 모습 때문에 더욱 무섭게 느껴진다.,
